"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206","GOMF_FATTY_ACID_SYNTHASE_ACTIVITY",0.181993301070942,-0.0275245043089647,2.18155985467127,0.0298398045021217,0.994768289874287,-3.58562402484894
"222","HP_RENAL_ANGIOMYOLIPOMA",-0.224930835325929,0.0286942233081995,-2.08600620581085,0.0377375677789809,0.994768289874287,-3.71567056501711
"10","GOBP_LIPID_HYDROXYLATION",-0.22313693973387,-0.0082825201463525,-2.02994019433349,0.0431559796417047,0.994768289874287,-3.78935855291025
"251","GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS",0.152687325501262,-0.0428759061707244,1.98784115003177,0.0476465553042407,0.994768289874287,-3.84341336345431
"212","GOMF_MEDIUM_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY",-0.204727617669614,0.00741307028712215,-1.98605487591802,0.0478455092418701,0.994768289874287,-3.84568267460495
"254","GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",0.154537658250889,-0.0344472461551101,1.96943129532236,0.0497308903136113,0.994768289874287,-3.86670677434291
"345","GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT",0.279162550198534,-0.044113786790379,1.96822851244644,0.049869700223919,0.994768289874287,-3.86822131123599
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.182123236174725,-0.0134943229831434,-1.94316984345123,0.0528367057361138,0.994768289874287,-3.89957106149128
"244","GOBP_LIPOXYGENASE_PATHWAY",0.154612702688931,-0.0158503967772652,1.83062116014985,0.0680492393640486,0.994768289874287,-4.03556464765146
"75","GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS",0.106569246484825,0.00335002391440036,1.78740566053867,0.0747798252693294,0.994768289874287,-4.08568552861424
"124","GOMF_PHOSPHOLIPID_TRANSPORTER_ACTIVITY",0.101350107806216,-0.0123743789764761,1.7495375806836,0.0811178512327866,0.994768289874287,-4.12864533407415
"340","GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT",0.182495163326874,-0.0438196675981508,1.63553091182118,0.102881123330106,0.994768289874287,-4.25255723286631
"115","GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSPORT",0.140836001864932,-0.0155144060373767,1.62026528627077,0.106120340796104,0.994768289874287,-4.26852955117784
"58","GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS",0.0850477992626895,-0.0248682961759775,1.61000265835538,0.108343268469127,0.994768289874287,-4.27918485262345
"161","GOBP_FATTY_ACID_TRANSPORT",0.0778522977949802,0.00235419298323594,1.60343827403049,0.109784445124299,0.994768289874287,-4.28596564399671
"127","GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY",0.139761968858196,-0.0299447611287747,1.58415935322689,0.1141051407887,0.994768289874287,-4.3057232578507
"20","GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS",0.092643294522524,-0.0213629744035515,1.5773873569905,0.11565437495604,0.994768289874287,-4.31260783209847
"157","GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS",0.0941859950576872,-0.0280333069136441,1.54417467970986,0.123494273252352,0.994768289874287,-4.34595401233518
"30","GOBP_PHOSPHOLIPID_TRANSPORT",0.0862891474013924,-0.0104733444407925,1.535787178486,0.125538640407051,0.994768289874287,-4.35426516980387
"2","HP_ABNORMAL_CIRCULATING_LIPID_CONCENTRATION",0.0815848761592576,-0.0211121639985204,1.51645850223622,0.13035063591397,0.994768289874287,-4.37324880709845
"19","GOBP_SPHINGOLIPID_METABOLIC_PROCESS",0.0771552682921857,-0.0220660547225797,1.51363492607834,0.131065460866793,0.994768289874287,-4.37600222724106
"150","HP_NEOPLASM_OF_FATTY_TISSUE",-0.0856744991071157,0.0113674617287524,-1.50799896753126,0.13250140344607,0.994768289874287,-4.38148309080807
"90","GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",0.118668456356204,-0.0293871528855396,1.47884467837496,0.140125622982922,0.994768289874287,-4.40951453379986
"299","GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",-0.157850491445183,-0.0298275167731061,-1.46299536876344,0.144410342398573,0.994768289874287,-4.4245278623167
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.140382757927302,-0.0506860383425648,1.45651620486944,0.146190699311189,0.994768289874287,-4.43061950115086
"252","GOBP_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS",0.167064920364626,-0.0225926673274591,1.43852027159691,0.151224176185588,0.994768289874287,-4.44739964156234
"274","GOBP_RESPONSE_TO_LIPOTEICHOIC_ACID",0.140285530508806,-0.0332746103827435,1.43563284826438,0.152043993941977,0.994768289874287,-4.45007289687978
"259","GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.10996506129398,-0.0159108956088237,1.42605852695391,0.154786733503454,0.994768289874287,-4.45889926706768
"104","GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION",-0.140110282493268,0.0236250625902007,-1.41845897151275,0.15699051059907,0.994768289874287,-4.46586378530097
"126","GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",-0.140110282493268,0.0236250625902007,-1.41845897151275,0.15699051059907,0.994768289874287,-4.46586378530097
"119","GOMF_LIPID_KINASE_ACTIVITY",0.142937980923913,-0.0219740971107475,1.4015210611761,0.161988165053871,0.994768289874287,-4.48125457582845
"280","GOBP_LAMELLIPODIUM_MORPHOGENESIS",-0.0939779878451555,0.000216433664005873,-1.40069475424947,0.162235023917611,0.994768289874287,-4.48200075292121
"281","GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS",0.0885291995224462,-0.0172428156762299,1.39201978074795,0.164843905582857,0.994768289874287,-4.48980834107799
"7","HP_INCREASED_MUSCLE_LIPID_CONTENT",-0.098024391478691,-0.00769885147791003,-1.3773972227338,0.169313076490762,0.994768289874287,-4.50286074822376
"93","GOBP_CELLULAR_SPHINGOLIPID_HOMEOSTASIS",0.140709844200088,-0.0397286391858002,1.3630055691591,0.173800213016142,0.994768289874287,-4.51557450936549
"78","GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",0.0790117113651214,-0.00980222932194745,1.35768203662988,0.175482443286888,0.994768289874287,-4.52024405683837
"123","GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",0.0816748086744224,-0.0205688457176128,1.32767184538062,0.185194497023583,0.994768289874287,-4.5462306783331
"293","GOBP_LIPOXIN_METABOLIC_PROCESS",0.138745457411308,0.00534569537629611,1.32452381923383,0.186235982298379,0.994768289874287,-4.54892346145482
"307","GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",0.119226167325605,0.00611285573591524,1.27510993759659,0.203157823978629,0.994768289874287,-4.5903652569961
