"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10","GOBP_LIPID_HYDROXYLATION",-0.227169007385419,-0.00399919924412054,-2.73642659607627,0.00654159926521751,0.989125950109459,-2.4588679061879
"68","GOBP_GLYCOLIPID_TRANSPORT",0.192504360068662,-0.0200735262608899,2.59221731835469,0.00995285968398252,0.989125950109459,-2.75278909118225
"131","GOMF_GLYCOSPHINGOLIPID_BINDING",0.126493678736533,0.0126500437687206,2.04690707305398,0.0414457125829443,0.989125950109459,-3.72611943029154
"299","GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",-0.152776673926933,-0.00550514161073372,-2.0414767986371,0.0419851710242903,0.989125950109459,-3.73470042234592
"328","GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION",-0.146099781701394,-0.0134620496235943,-2.03762561538269,0.042371365852994,0.989125950109459,-3.74077271090321
"236","GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",-0.169804255458071,-0.0291871983848236,-2.0084281977531,0.0453986010832949,0.989125950109459,-3.78644723715618
"357","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.138542588483447,0.0164549992506176,-1.96592195511841,0.0501316917087024,0.989125950109459,-3.85179649475013
"49","GOBP_RESPONSE_TO_LIPID",0.0633127030276987,-0.0164269782041838,1.91109531286229,0.0568440311504911,0.989125950109459,-3.93407924882617
"334","GOBP_REGULATION_OF_INTESTINAL_CHOLESTEROL_ABSORPTION",-0.127071082630127,0.00812201950412885,-1.87839713421548,0.0611936080824176,0.989125950109459,-3.98207321485336
"249","GOBP_POSITIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",0.133892016688239,-0.00123964523218453,1.86245225544638,0.0634130433059815,0.989125950109459,-4.00518411071088
"3","HP_ANTIPHOSPHOLIPID_ANTIBODY_POSITIVITY",0.118660763388181,-0.0146418199720492,1.82697006942678,0.0685923123228744,0.989125950109459,-4.05592322584966
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.1311921972747,0.0169409362096889,-1.78222938347578,0.0756158335186525,0.989125950109459,-4.11854365989633
"297","GOCC_INTERMEDIATE_DENSITY_LIPOPROTEIN_PARTICLE",-0.152642259198869,-0.0299314855803933,-1.75964166974257,0.0793796726780515,0.989125950109459,-4.14958184104808
"125","GOMF_LIPID_BINDING",0.0508691457477707,-0.00668002886056278,1.70315206370057,0.0894654384760676,0.989125950109459,-4.22550982445182
"257","GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY",-0.0952666651245521,0.00802259832896381,-1.65027084228171,0.0998230888435208,0.989125950109459,-4.29438903173344
"88","GOBP_CELLULAR_RESPONSE_TO_LIPID",0.0548356238979848,-0.0238115471199654,1.61198053583128,0.107906170713113,0.989125950109459,-4.34293364572457
