"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10","GOBP_LIPID_HYDROXYLATION",-0.199259249408127,-0.0436859463294033,-3.09613317195646,0.00217516948028472,0.802637538225061,-1.52294336915226
"61","GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS",-0.0958608824146107,-0.0329240465829933,-2.76118012309353,0.0061696778036063,0.901686277597516,-2.34073206144455
"360","GOBP_SEQUESTERING_OF_TRIGLYCERIDE",0.107943273324989,-0.0119566416624475,2.61135785764145,0.00954237369371685,0.901686277597516,-2.67823162855944
"66","GOBP_GLYCEROLIPID_CATABOLIC_PROCESS",-0.0759381825216116,-0.0217447822301345,-2.51664147592044,0.0124504085869632,0.901686277597516,-2.88244709069121
"359","GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.0934059236917709,-0.028492120543321,-2.47539856772107,0.0139466007201948,0.901686277597516,-2.96914049290232
"236","GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",-0.166786234051742,-0.0697736180466005,-2.45706297495909,0.0146615654893905,0.901686277597516,-3.00724647784916
"243","GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",-0.124077038299264,-0.0381234897469595,-2.19564874241028,0.0290009079577099,0.992067201908209,-3.52115855780681
"352","GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",0.0938034314167646,-0.0207495919095089,2.07981394285261,0.0385224148020733,0.992067201908209,-3.73118517385641
"21","GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS",0.0834260266790455,-0.0139695252789888,2.07797492037767,0.0386929354608212,0.992067201908209,-3.73443135180537
"210","GOMF_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",-0.0796969554190473,-0.00171214892560107,-2.02872446559898,0.0435054989983387,0.992067201908209,-3.8203371900567
"295","GOCC_LAMELLIPODIUM_MEMBRANE",0.0848240737988555,-0.0100449020883361,1.95697802672749,0.0514201670917986,0.992067201908209,-3.94192286711783
"355","GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.0924245764054206,-0.0427802352856992,-1.93206391081103,0.054438088054132,0.992067201908209,-3.9831539171164
"299","GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",-0.118695903651746,-0.0574690266822815,-1.89086016266396,0.0597548140081982,0.992067201908209,-4.05022070050232
