"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"268","GOBP_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS",-0.293201646407144,-0.00391582793863545,-1.70958841162918,0.0884151901223543,0.997609489466956,-4.3093635147154
"211","GOMF_FATTY_ACID_LIGASE_ACTIVITY",-0.233473664904755,0.000645288010204625,-1.65731181181781,0.0985413396973039,0.997609489466956,-4.33879213494283
"134","GOMF_SPHINGOLIPID_BINDING",0.20266735708404,-0.000505504779144439,1.40843956912349,0.160075617334605,0.997609489466956,-4.46670347041986
"167","GOBP_FATTY_ACID_ELONGATION",0.24003345367705,-0.00681574545809702,1.38241890524377,0.167910281186778,0.997609489466956,-4.47890705628356
"293","GOBP_LIPOXIN_METABOLIC_PROCESS",0.278948555171472,-0.0052916562776994,1.38084586543196,0.168393032534343,0.997609489466956,-4.47963767196354
"92","GOBP_NEGATIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",-0.264484935352831,-0.00583497687181021,-1.37299809691688,0.170817094776397,0.997609489466956,-4.48327049715286
"321","HP_INCREASED_VLDL_CHOLESTEROL_CONCENTRATION",0.266518421072434,-0.0151500858459583,1.35693015809922,0.175862068428595,0.997609489466956,-4.49064532096023
"264","GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS",0.132346473437677,-0.024584909696125,1.31133096821111,0.190786640581821,0.997609489466956,-4.51111123675099
"319","HP_HYPOCHOLESTEROLEMIA",0.21161866739516,-0.0210923670850604,1.3072201587877,0.192176827228097,0.997609489466956,-4.51292257073416
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.208328506264597,-0.0154977465040221,-1.28873903974399,0.198519291081243,0.997609489466956,-4.52099695103127
"90","GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",-0.16866562439811,-0.00769233555525418,-1.2887323252592,0.198521623026956,0.997609489466956,-4.52099986408979
"190","GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS",0.175735581894329,-0.0248866416371814,1.28595724512831,0.199487134971253,0.997609489466956,-4.52220254928789
"119","GOMF_LIPID_KINASE_ACTIVITY",0.246348425585515,-0.0125735151132171,1.27518199666253,0.203268775027688,0.997609489466956,-4.52684829242509
"13","GOBP_C_TERMINAL_PROTEIN_LIPIDATION",0.248191227421323,-0.0267606368537503,1.26819212886539,0.205749812130571,0.997609489466956,-4.52984145477643
"104","GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION",-0.247692093712521,-0.0285475033245515,-1.26373012698286,0.20734511200795,0.997609489466956,-4.53174370345436
"126","GOMF_AMINOPHOSPHOLIPID_FLIPPASE_ACTIVITY",-0.247692093712521,-0.0285475033245515,-1.26373012698286,0.20734511200795,0.997609489466956,-4.53174370345436
"152","GOBP_FATTY_ACID_ALPHA_OXIDATION",-0.251585833792941,0.0341558356657677,-1.26154722974634,0.208128841582406,0.997609489466956,-4.53267192240342
"143","GOMF_GLYCEROPHOSPHOLIPID_FLIPPASE_ACTIVITY",-0.207320587998152,-0.0134229819993537,-1.25817577152278,0.209343541257905,0.997609489466956,-4.53410244932797
"72","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB",-0.250777973909797,-0.0373382402481583,-1.22649104081045,0.221012075242707,0.997609489466956,-4.54736270761881
"232","GOBP_PROTEIN_LIPOYLATION",0.247317778190564,0.00673142377788681,1.21756329623152,0.224382974973645,0.997609489466956,-4.55103901086109
"141","GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY",-0.157234306736386,-0.0229398585451997,-1.21746158361766,0.224421590840192,0.997609489466956,-4.55108074239515
"81","GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS",0.232195851197614,0.00958469877765749,1.20295184222175,0.229979322068344,0.997609489466956,-4.5569988015648
"203","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.180350503700247,0.0110950637142514,-1.19711783254665,0.232241459216092,0.997609489466956,-4.55935863913009
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.238480530060151,-0.0107964744681131,-1.19392039214292,0.233487980106296,0.997609489466956,-4.56064720609628
"83","GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_TRANSLOCATION",-0.253665572955248,-0.0036056488588559,-1.18771678003631,0.235920039352318,0.997609489466956,-4.56313758892174
"210","GOMF_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",-0.155953469157741,0.0165450094719429,-1.17628816963275,0.240447552746142,0.997609489466956,-4.56769207758982
"305","GOMF_LIPOPROTEIN_LIPASE_ACTIVITY",-0.256804586924826,0.00113558985742453,-1.17413544987028,0.241307207602708,0.997609489466956,-4.56854512137429
"288","GOBP_REGULATION_OF_LIPOPHAGY",0.255089960575089,-0.0173877910750548,1.17151900531563,0.242354969058099,0.997609489466956,-4.56957985168331
"41","GOBP_LIPID_GLYCOSYLATION",-0.202500812095586,-0.00525283504037509,-1.14984708610422,0.251157290131864,0.997609489466956,-4.57806311152827
"142","GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY",-0.149916237477656,-0.0371033314755852,-1.13559800452097,0.25706553101575,0.997609489466956,-4.58355576805653
"40","GOBP_LIPID_MODIFICATION",-0.106689287070893,-0.00278101162152028,-1.12562311464476,0.261258791463971,0.997609489466956,-4.58736067856249
"339","GOBP_CELLULAR_RESPONSE_TO_CHOLESTEROL",0.169740509644571,-0.0160153487692624,1.11982217662455,0.263719145570097,0.997609489466956,-4.58955822592725
"186","GOBP_REGULATION_OF_FATTY_ACID_OXIDATION",-0.162178571693386,-0.0177619278765834,-1.08699316848944,0.277945397901582,0.997609489466956,-4.60178375265722
"216","GOMF_FATTY_ACID_OMEGA_HYDROXYLASE_ACTIVITY",-0.236957858821884,-0.0129400582705378,-1.08500040392981,0.278825546993928,0.997609489466956,-4.60251430917416
"201","GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT",0.127539565343403,-0.0106724839632738,1.06694475349927,0.286887080076932,0.997609489466956,-4.60907330472108
"239","GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",-0.14933221606817,-0.0048770146051801,-1.05414407051362,0.292697283048264,0.997609489466956,-4.61365754203895
"107","GOBP_REGULATION_OF_PROTEIN_LIPIDATION",-0.206783379778408,-0.00908924628113044,-1.04600975416467,0.296430424955148,0.997609489466956,-4.61654225283457
"123","GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",-0.119414090236034,-0.0134210384081125,-1.0413735841395,0.298572402090382,0.997609489466956,-4.61817652721102
"337","GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS",0.144807747053456,-0.0164601867880048,1.02571317890562,0.305884383388762,0.997609489466956,-4.6236438839916
"184","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.144892891554098,-0.00358283662172272,-1.02465842414464,0.306381111460324,0.997609489466956,-4.62400917816753
"260","GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",-0.179344369720857,-0.0332337384025339,-1.01727343533275,0.309874056518348,0.997609489466956,-4.62655642607334
"93","GOBP_CELLULAR_SPHINGOLIPID_HOMEOSTASIS",-0.202289840478258,-0.00563362260635934,-1.01407095676988,0.311396948007677,0.997609489466956,-4.62765537313569
"351","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.153724912120465,-0.00699681084528636,-1.01208581589029,0.312343439278484,0.997609489466956,-4.62833486530808
"98","GOBP_INTESTINAL_LIPID_ABSORPTION",-0.147083001592011,0.0102017113159095,-1.01154782059625,0.312600276769571,0.997609489466956,-4.62851878863116
"54","GOBP_LIPID_DIGESTION",-0.148570899335795,0.00202490076616612,-1.00982538401137,0.313423503598287,0.997609489466956,-4.62910698436598
"326","GOBP_CHOLESTEROL_CATABOLIC_PROCESS",-0.16602116391186,0.0102665608742234,-0.99269516138303,0.321688780662749,0.997609489466956,-4.63490286093527
"6","HP_LIPID_ACCUMULATION_IN_HEPATOCYTES",-0.112321530713759,-0.00440209918885448,-0.968670757024561,0.33351928162013,0.997609489466956,-4.64286613596227
"336","GOBP_REVERSE_CHOLESTEROL_TRANSPORT",-0.152369944556493,-0.0298656290905284,-0.968484457614463,0.333612111355218,0.997609489466956,-4.64292713394168
"354","GOBP_NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.205678038458375,-0.0130533286498146,-0.967090280990582,0.334307336984973,0.997609489466956,-4.64338324552202
"193","GOBP_MEDIUM_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",0.202822846156976,0.0286200176976495,0.963915718331137,0.335893877207784,0.997609489466956,-4.64441939370763
"180","GOBP_VERY_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",0.19112074148932,-0.00432724960854764,0.961194235288378,0.337257855237453,0.997609489466956,-4.64530497751275
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.16773029458545,-0.0138245490039016,-0.950932689479166,0.342432965935716,0.997609489466956,-4.64862185125423
"224","HP_LIPODYSTROPHY",-0.10696307384793,-0.00463512319000719,-0.950181428750743,0.342813837155493,0.997609489466956,-4.648863299752
"178","GOBP_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",-0.187084463302233,0.00704739701092516,-0.936588163302318,0.349752274449967,0.997609489466956,-4.65319942682087
"359","GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.120133728102797,0.00298930014630534,-0.93233639923716,0.35194077745569,0.997609489466956,-4.65454300232586
"127","GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY",0.18361326723286,-0.000499805856293559,0.931783737083403,0.352225887047894,0.997609489466956,-4.65471720144117
"299","GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",-0.189349503038007,-0.0553135802732659,-0.929180674302466,0.353570741185776,0.997609489466956,-4.65553631166193
"82","GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSLOCATION",-0.174446725225863,-0.0359088837250116,-0.915127948996535,0.360887226590366,0.997609489466956,-4.65991911598831
"369","GOMF_TRIGLYCERIDE_LIPASE_ACTIVITY",-0.124375583014469,-0.00589602659514907,-0.908850906942786,0.364185966469188,0.997609489466956,-4.66185544557819
"164","GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.0988459109311541,-0.0194929006977475,-0.90505148244891,0.366191833310172,0.997609489466956,-4.66302107099425
"199","GOBP_FATTY_ACID_DERIVATIVE_CATABOLIC_PROCESS",-0.146433653850859,0.0189329613279307,-0.895564172443297,0.371230735174228,0.997609489466956,-4.66591056128107
