"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"21","GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS",-0.467639496187826,-0.0148625901988086,-7.05012320142702,7.00226658888469e-12,2.58383637129845e-09,16.5363934678102
"74","GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING",-0.346615802593718,-0.00935449677686995,-6.47609299370097,2.53232634827541e-10,4.67214211256814e-08,13.107387400954
"330","GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX",-0.449828960875648,-0.0161727631178935,-6.31820617611079,6.51639536613367e-10,6.14547955268498e-08,12.2059361856488
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.465413004640367,-0.0131522521264371,-6.31448362560664,6.66176645277504e-10,6.14547955268498e-08,12.1849042741996
"186","GOBP_REGULATION_OF_FATTY_ACID_OXIDATION",-0.379130247616343,-0.0169703986430803,-5.97853293013187,4.67569961259837e-09,3.4506663140976e-07,10.3295301974291
"240","GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.511937956841516,0.0246404818767904,5.91284991409102,6.77614360347408e-09,4.16732831613656e-07,9.97676445443254
"280","GOBP_LAMELLIPODIUM_MORPHOGENESIS",-0.415895547665643,-0.0183948550893742,-5.58363779689949,4.1395368068082e-08,2.18212725958889e-06,8.25886050413889
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.447512345149462,-8.62201872507148e-05,-5.52611847753682,5.63025873839768e-08,2.38467700474773e-06,7.9674057314065
"201","GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT",-0.30727334092573,-0.0218166301064803,-5.52001098071648,5.81628537743348e-08,2.38467700474773e-06,7.93661201859731
"329","GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX",-0.346957119240632,-0.0157853643250827,-5.45344564480621,8.27343319631607e-08,3.05289684944063e-06,7.60290914411576
