"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"186","GOBP_REGULATION_OF_FATTY_ACID_OXIDATION",-0.56610903593447,-0.041436035979015,-22.9236486285433,4.42264575224706e-97,1.63195628257916e-94,210.616899406921
"358","GOBP_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.502902591680544,-0.0370048963553184,-20.1364343680787,3.85897985638478e-78,7.11981783502992e-76,167.207948664642
"60","GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS",-0.475483200796328,-0.0376092947486848,-19.7407213763905,1.51615956840251e-75,1.86487626913508e-73,161.263609019855
"58","GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS",-0.381020973327659,-0.0244320711563779,-19.5652544864578,2.10215939028998e-74,1.93924203754251e-72,158.647220376712
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.590602371845693,-0.0232815440318503,-19.1128779167496,1.74584128261169e-71,1.28843086656743e-69,151.95877813412
"164","GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.364352992064814,-0.0137861428024708,-18.8495885313449,8.3997095685159e-70,5.16582138463728e-68,148.104866471101
"211","GOMF_FATTY_ACID_LIGASE_ACTIVITY",-0.514506811971277,-0.0263145650033227,-18.4019437478961,5.68826304200941e-67,2.99852723214496e-65,141.620454045956
"350","GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.54317094951506,-0.0336332661548848,-18.3325727670346,1.54972058016155e-66,7.14808617599515e-65,140.623419266642
"349","GOBP_TRIGLYCERIDE_METABOLIC_PROCESS",-0.363094410577188,-0.00431860241109973,-18.2707494020308,3.77908924984513e-66,1.5494265924365e-64,139.736667922254
"267","GOBP_LIPOPROTEIN_LOCALIZATION",-0.634720489564899,-0.0129020623217821,-18.1114197893358,3.72969052494306e-65,1.37625580370399e-63,137.459264908448
"354","GOBP_NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.773618605601809,-0.0446546750872032,-17.7514049980981,6.30716914941339e-63,2.1157685601214e-61,132.35602781038
"330","GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX",-0.555090027889333,-0.0224222661443555,-17.6680674804271,2.05069323600233e-62,6.30588170070715e-61,131.183296264294
"318","HP_INCREASED_LDL_CHOLESTEROL_CONCENTRATION",-0.435547385182598,-0.00806393363963985,-17.2580738972365,6.46039747553336e-60,1.83375897574754e-58,125.461981352168
"212","GOMF_MEDIUM_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY",-0.699111906240141,-0.0225512418737817,-17.164222591544,2.38343861013203e-59,6.282063193848e-58,124.163761628524
"226","HP_HYPERLIPOPROTEINEMIA",-0.420060774925114,0.00307584155561902,-17.04678668774,1.2133249318153e-58,2.98477933226564e-57,122.545410344049
"352","GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.563110363271606,-0.0251659067671145,-16.9958561995584,2.45231234122658e-58,5.65564533695379e-57,121.845677544437
"27","GOBP_REGULATION_OF_LIPID_STORAGE",-0.416471013671482,-0.0158034854531842,-16.9320656820002,5.90946905219049e-58,1.28270240015194e-56,120.971086974386
"185","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.435053656120229,-0.00123083845423307,-16.9264972091878,6.38043385847954e-58,1.30798894098831e-56,120.894837919616
"29","GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE",-0.506643026801597,-0.0221855117904846,-16.7501868409501,7.1740100714186e-57,1.39326827176498e-55,118.488701817423
"70","GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",-0.358133654225197,0.00285708156265017,-16.6768927824752,1.95266881769086e-56,3.60267396863965e-55,117.493087602529
"78","GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",-0.358892393849229,-0.0149982796326009,-16.4454325348136,4.52981279409197e-55,7.95952819533304e-54,114.367098376696
"15","GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS",-0.314743495368016,-0.00529682423400404,-16.3989718883818,8.48625791300248e-55,1.42337689540814e-53,113.742972909386
"52","GOBP_LIPID_OXIDATION",-0.367668409994142,-0.0170237120650156,-16.391510646755,9.38542829054496e-55,1.50574914748308e-53,113.642848046685
"188","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.552424266135134,-0.0216956802660019,-16.2871317703402,3.82823769407794e-54,5.88591545464483e-53,112.245216962305
"159","GOBP_FATTY_ACID_OMEGA_OXIDATION",-0.687442217714498,0.0227965265818736,-15.8377215366729,1.5243252893671e-51,2.24990412710584e-50,106.293892983426
"168","GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.456180772785344,-0.0193818762442798,-15.8197100916171,1.93330215719245e-51,2.74380190770774e-50,106.057650894224
"34","GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS",-0.278201830489402,-0.0130489283976382,-15.7478902316542,4.97885148711901e-51,6.80443036572931e-50,105.117412974638
"359","GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.375132432002219,0.0298439723248968,-15.6938893153203,1.01209595126942e-50,1.3337978786372e-49,104.412321640176
"79","GOBP_LIPID_HOMEOSTASIS",-0.299872039073867,-0.0148960109903767,-15.6453662696209,1.91190932831647e-50,2.43273980051303e-49,103.780128589483
"362","GOBP_CELLULAR_TRIGLYCERIDE_HOMEOSTASIS",-0.598118922952703,0.00384574169247967,-15.5745694348223,4.82510262174124e-50,5.93487622474172e-49,102.860079176218
"360","GOBP_SEQUESTERING_OF_TRIGLYCERIDE",-0.483658233970388,-0.0159535573519135,-15.432567789473,3.06376563273578e-49,3.5646198802859e-48,101.023112575034
"40","GOBP_LIPID_MODIFICATION",-0.277988004530942,-0.02066393424254,-15.4318791019543,3.09126927287666e-49,3.5646198802859e-48,101.014231124747
"154","GOBP_FATTY_ACID_METABOLIC_PROCESS",-0.286472790240304,-0.0165178261230177,-15.428007540828,3.25052855257789e-49,3.63468192697346e-48,100.964307679392
"75","GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS",-0.341127416837609,0.000419655463711851,-15.3679560266093,7.07766841749205e-49,7.68135190016049e-48,100.191031294295
"155","GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.289226678744359,-0.0204406554246411,-15.2507040055449,3.21494019106219e-48,3.38946551571985e-47,98.6870802128421
"26","GOBP_LIPID_LOCALIZATION",-0.260283664923124,-0.00994799666992684,-15.1960443507374,6.49266124616412e-48,6.65497777731822e-47,97.9886569041725
"76","GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS",-0.407296978090594,0.00589840993887064,-15.072498071539,3.15968000208249e-47,3.15114032640118e-46,96.4163404318065
"71","GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",-0.281391760537476,-0.0109775356205408,-14.8352735614117,6.43388512378311e-46,6.24764108072623e-45,93.4220984088824
"310","GOMF_APOLIPOPROTEIN_BINDING",-0.443587965991088,-0.00965550629938431,-14.7821623011211,1.25762665910952e-45,1.18990830054209e-44,92.7562428433608
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.500887644852594,-0.010474052426292,-14.6869084212965,4.16668658884963e-45,3.84376837821378e-44,91.5662198483096
"265","GOBP_LIPOPROTEIN_CATABOLIC_PROCESS",0.446088067094953,-0.0159411243347848,14.6833085852225,4.35919343779293e-45,3.92327409401364e-44,91.5213519678286
