"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"52","GOBP_LIPID_OXIDATION",-0.492124973184965,-0.0314855172043694,-7.79697282553421,1.95169801097161e-12,7.20176566048523e-10,17.8961603225205
"156","GOBP_FATTY_ACID_BETA_OXIDATION",-0.509520210855946,-0.033735214360572,-7.23318359441221,3.86646808372411e-11,5.52409644415585e-09,15.0192659875978
"158","GOBP_FATTY_ACID_CATABOLIC_PROCESS",-0.481714633619568,-0.0275232087583281,-7.20449156493947,4.49113532045191e-11,5.52409644415585e-09,14.8750801861531
"154","GOBP_FATTY_ACID_METABOLIC_PROCESS",-0.369830736179013,-0.0326428109117728,-6.67495177851871,6.81850218546848e-10,5.07273921356888e-08,12.2584833892993
"352","GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.656377233555272,-0.027739628365283,-6.65570642403423,7.51442200581586e-10,5.07273921356888e-08,12.1650883548837
"40","GOBP_LIPID_MODIFICATION",-0.354243821602053,-0.0398835898881409,-6.63722882532807,8.24835644482744e-10,5.07273921356888e-08,12.0755387990805
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.84769565181601,0.017881557387198,6.39205271798936,2.80871950116712e-09,1.4805964227581e-07,10.89876876753
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.654849632000473,-0.0387471765872399,-6.22890187193092,6.27150740098881e-09,2.89273278870609e-07,10.12804405144
"151","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.458885188877463,-0.00754568565448216,-5.90797817476003,2.95431853968644e-08,1.11411813306289e-06,8.64303919008034
"153","GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.395924737846391,-0.0279165115960029,-5.90341084594123,3.01929033350376e-08,1.11411813306289e-06,8.62221652691626
"56","GOBP_CELLULAR_LIPID_METABOLIC_PROCESS",-0.296044270978622,-0.0363840532264946,-5.87363759771375,3.47854430187661e-08,1.16689349762952e-06,8.48670066342696
"55","GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS",-0.34544549373996,-0.0256064770592311,-5.81669339569273,4.55567419232946e-08,1.40086981414131e-06,8.22859380238191
"172","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE",-0.591579085389477,-0.0204438414756193,-5.77140740938805,5.64014701225065e-08,1.60093403655422e-06,8.02435468153007
"307","GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",0.637113664566548,-0.0128737324339067,5.6940730982001,8.10509825946936e-08,2.13627232696014e-06,7.67771364956579
"353","GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.624882354372868,-0.0134723563869819,-5.6432852449699,1.02694187484382e-07,2.5262770121158e-06,7.45155255496296
