"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212","GOMF_MEDIUM_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY",-0.885631306094375,-0.0191440678817884,-12.132409105593,6.21347297145466e-21,2.29277152646677e-18,37.1380047886073
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",0.707644243099062,0.0317375772788025,11.2460116817175,4.35052567370955e-19,8.02671986799412e-17,32.9580463620188
"220","HP_INTRACELLULAR_ACCUMULATION_OF_AUTOFLUORESCENT_LIPOPIGMENT_STORAGE_MATERIAL",0.869401188241456,0.0198029553826022,11.0695583354139,1.02086266462763e-18,1.25566107749198e-16,32.1186041906706
"181","GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL",0.627289987847771,0.0293268988958616,10.7651171512915,4.46772185212744e-18,4.12147340858757e-16,30.6655623406019
"305","GOMF_LIPOPROTEIN_LIPASE_ACTIVITY",-0.880855157691398,-0.0414948381277874,-10.6926202270248,6.35471828043437e-18,4.68978209096056e-16,30.3187531553105
"350","GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",0.625737836607314,0.00573167457631465,10.6024983012867,9.8507804162075e-18,5.45002510507923e-16,29.8872452434906
"4","HP_ABNORMAL_GLYCOSPHINGOLIPID_METABOLISM",0.899900539661199,0.0201070724944023,10.592562359385,1.03388010123454e-17,5.45002510507923e-16,29.8396464911473
"331","GOBP_CHOLESTEROL_STORAGE",0.642501839684248,0.024873335033703,10.5078523520612,1.56166209804777e-17,7.20316642724534e-16,29.4336457997139
"228","HP_INCREASED_CEREBRAL_LIPOFUSCIN",0.769056259974259,0.0169095355388969,10.3092396705247,4.11230145173875e-17,1.68604359521289e-15,28.4804908883722
"95","GOBP_NEGATIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY",0.780996975288476,0.010197564538793,10.2083453274136,6.72901646034987e-17,2.4830070738691e-15,27.9957078071504
"238","GOBP_REGULATION_OF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",-1.00800508372029,-0.0364366880462554,-10.0934727622968,1.17930860147931e-16,3.95604430859878e-15,27.4433556414136
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.871612747537024,0.0102131365816837,10.0108718263246,1.76583311564594e-16,5.18423694720197e-15,27.0459475402847
"333","GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_STORAGE",0.769265168114601,0.0107613394186415,10.003970286634,1.82642494074866e-16,5.18423694720197e-15,27.0127352188113
"226","HP_HYPERLIPOPROTEINEMIA",-0.477381232024608,-0.030368648357198,-9.83441058367029,4.18530463305033e-16,1.10312672113969e-14,26.1964474306882
"299","GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",-0.736767674512281,-0.0761646670181589,-9.53615595408237,1.80151362014487e-15,4.43172350555638e-14,24.7596822868935
"168","GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",0.571424240866095,0.0190156815554807,9.41971744756623,3.1854619879068e-15,7.34647170961006e-14,24.1986959514641
"201","GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT",0.430622330540056,-0.000760625084057673,9.03303136237402,2.11278133052596e-14,4.58597829978871e-13,22.3368483207911
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",0.654220469690524,0.00631089855279143,8.90693690177995,3.91298379732302e-14,8.02161678451219e-13,21.7305102565875
"186","GOBP_REGULATION_OF_FATTY_ACID_OXIDATION",0.488648121066896,0.00890100755526346,8.86324037679065,4.8440573940651e-14,9.40766936005274e-13,21.5205252859575
"319","HP_HYPOCHOLESTEROLEMIA",0.625609994932652,-0.0136816809316697,8.72783516870439,9.38142384888333e-14,1.73087270011897e-12,20.8703518814824
"351","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",0.579749858815791,-0.0139471271052137,8.71337502693875,1.00671031819702e-13,1.7689338448319e-12,20.8009700473948
"197","GOBP_REGULATION_OF_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL",0.721480991322791,0.0219974649124015,8.53889638956255,2.35618534058184e-13,3.95196541215772e-12,19.9646997965139
