"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.863308905028728,0.0671284719758929,16.7486339632777,3.65969708371537e-52,1.35042822389097e-49,107.846921496098
"324","HP_ABNORMAL_LDL_CHOLESTEROL_CONCENTRATION",-0.474077662188386,-0.0409584008986604,-16.0421559688537,1.19632094511781e-48,2.20721214374236e-46,99.8177673322554
"161","GOBP_FATTY_ACID_TRANSPORT",-0.316989182068591,-0.0251859390759943,-14.8786820297491,5.33762482403333e-43,6.56527853356099e-41,86.9140746449209
"278","GOBP_RESPONSE_TO_DIACYL_BACTERIAL_LIPOPEPTIDE",0.936403016447251,0.0687697515576025,14.6514311056971,6.43319114076382e-42,5.93461882735462e-40,84.4454681340495
"109","GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.77912372092299,0.0467657601808544,14.5671732136147,1.61160924508706e-41,1.18936762287425e-39,83.5348055842899
"341","GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS",-0.457640065969861,-0.0354471667798964,-14.421145577881,7.86795787806467e-41,4.83879409500977e-39,81.96258910739
"151","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.50056899867749,-0.0289717246600773,-14.2891002501037,3.27810621331816e-40,1.72803027530628e-38,80.5476417401767
"176","GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS",-0.520940745075696,-0.0556314381119227,-14.2491859664243,5.03977442119626e-40,2.32459595177677e-38,80.1212120981836
"42","GOBP_INTRACELLULAR_LIPID_TRANSPORT",-0.450910194561259,-0.0403350864658976,-14.0887103602775,2.82338204060853e-39,1.1575866366495e-37,78.4128241553239
"207","GOMF_LONG_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY",-0.501746201843121,-0.0522733609229617,-13.8240370271878,4.73873337849005e-38,1.74859261666283e-36,75.6168896024937
"318","HP_INCREASED_LDL_CHOLESTEROL_CONCENTRATION",-0.434039904229069,-0.0293471164687855,-13.7105879917243,1.57410693230922e-37,5.28041325474638e-36,74.4269315295646
"230","HP_ABNORMAL_CIRCULATING_APOLIPOPROTEIN_CONCENTRATION",-0.784423254741344,-0.0433925072737323,-13.6983162367593,1.7918301850125e-37,5.50987781891343e-36,74.2985246296688
"133","GOMF_SPHINGOLIPID_TRANSPORTER_ACTIVITY",-0.473053103881746,-0.0410568292438381,-13.6420987403524,3.24116635792785e-37,9.19992604673366e-36,73.7110678790967
"198","GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS",-0.390901489815427,-0.0297543980900288,-13.6249975501297,3.88054507401182e-37,1.02280080879311e-35,73.5326207636189
"246","GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",0.482991649112615,0.0162172879813545,13.3893664675425,4.58096069451153e-36,1.12691633084984e-34,71.0861611894558
"44","GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT",-0.406870750550378,-0.0249663857686161,-13.3817323946939,4.96046456918834e-36,1.14400714126906e-34,71.0072877010967
"154","GOBP_FATTY_ACID_METABOLIC_PROCESS",-0.357789831647788,-0.0181243317367246,-13.3188514047788,9.54622977331491e-36,2.07209340373718e-34,70.3585543248548
"22","GOBP_LIPID_BIOSYNTHETIC_PROCESS",-0.287596908213935,-0.0251674452051802,-13.3038167131059,1.11609775006014e-35,2.28800038762328e-34,70.2036926343416
"158","GOBP_FATTY_ACID_CATABOLIC_PROCESS",-0.502806169069262,-0.0274783084400558,-13.2688964252876,1.60391174687366e-35,3.11496544524411e-34,69.8443759524437
"304","GOMF_LIPOPOLYSACCHARIDE_IMMUNE_RECEPTOR_ACTIVITY",0.821258450543083,0.0370051930652932,13.1317628503252,6.6284882689879e-35,1.22295608562827e-33,68.4384005861534
"307","GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING",0.57615824681344,-0.00174224167076493,13.0667500858568,1.29517562954805e-34,2.27580860620586e-33,67.7747078842572
"268","GOBP_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS",-0.545667877446339,-0.0317115263213611,-13.0524362793302,1.50062289069523e-34,2.51695384848427e-33,67.628832324525
"274","GOBP_RESPONSE_TO_LIPOTEICHOIC_ACID",0.645065217270217,0.021462728199088,13.0449062051322,1.62141593073868e-34,2.60131512366336e-33,67.5521276861925
"145","HP_ABNORMAL_CIRCULATING_FATTY_ACID_CONCENTRATION",-0.510620872789244,-0.0247537598657587,-12.9728093309116,3.3983658846798e-34,5.2249875476952e-33,66.8189864202217
"337","GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS",-0.461539714967472,-0.025342300631898,-12.8304248640961,1.45552127919274e-33,2.14834940808849e-32,65.3779162888167
"200","GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS",-0.367024837008694,-0.0261061300045696,-12.7907583509927,2.17928320095084e-33,3.09290577365715e-32,64.9780807431797
"23","GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",-0.296400883612488,-0.0247246239727492,-12.7572539328362,3.06292732702772e-33,4.18600068027122e-32,64.6409164118461
"174","GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS",-0.436377499714735,-0.0426825092570573,-12.701072262484,5.41397233369933e-33,7.13484211119661e-32,64.0766969997263
"129","GOMF_ATPASE_COUPLED_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.69508708071841,0.00953564388869118,12.6329514814527,1.07801691831954e-32,1.37168359606866e-31,63.3945251097452
"84","GOBP_CALCIUM_ACTIVATED_PHOSPHOLIPID_SCRAMBLING",0.712153888690343,0.0242344166172358,12.6162471949986,1.27594088911947e-32,1.56940729361694e-31,63.2275738919476
"56","GOBP_CELLULAR_LIPID_METABOLIC_PROCESS",-0.288219267511168,-0.0154958643107279,-12.5973231338953,1.54417292463282e-32,1.83806390061133e-31,63.0385938641744
"17","GOBP_PHOSPHOLIPID_METABOLIC_PROCESS",-0.270693294779638,-0.0262089168216815,-12.5880768630739,1.69495315856375e-32,1.95449286096883e-31,62.9463191454899
"225","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.370759872634425,-0.0209998767347535,-12.4622739972411,5.99730820696504e-32,6.36872813590096e-31,61.6948301040698
"323","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.370759872634425,-0.0209998767347535,-12.4622739972411,5.99730820696504e-32,6.36872813590096e-31,61.6948301040698
"14","GOBP_LIPID_METABOLIC_PROCESS",-0.271938673897692,-0.0159523892408606,-12.4615525341199,6.04079904489251e-32,6.36872813590096e-31,61.6876744877004
"203","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.495495835267678,-0.0198876598818896,-12.4546813104572,6.47106270574762e-32,6.63283927339131e-31,61.6195366691527
"226","HP_HYPERLIPOPROTEINEMIA",-0.393192741432843,-0.0171764925819454,-12.4360777649178,7.79523679942852e-32,7.7741685918625e-31,61.4351688215956
