"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.880044518571372,0.0459302455499915,10.5968378124385,9.6254612479283e-23,3.55179520048554e-20,40.9357288632167
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.628053862335187,-0.0485950219821876,-10.2236654708612,1.824014665824e-21,3.36530705844528e-19,38.0498256508489
"324","HP_ABNORMAL_LDL_CHOLESTEROL_CONCENTRATION",-0.439494963207813,-0.0146998032013525,-9.51832145559077,4.09153834493958e-19,5.03259216427569e-17,32.7431217711399
"202","GOBP_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.406453901289139,-0.00236945539061961,-9.32133251355947,1.78771511675987e-18,1.47160077765977e-16,31.2984692579073
"69","GOBP_PHOSPHOLIPID_DEPHOSPHORYLATION",-0.456281789272089,-0.0293707802811448,-9.30665006948107,1.99403899411893e-18,1.47160077765977e-16,31.1914831830251
"161","GOBP_FATTY_ACID_TRANSPORT",-0.317559794124029,-0.0184454001515755,-9.17448752848413,5.30670899944291e-18,3.26362603465739e-16,30.2328544464933
"356","GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.728692389596732,-0.0200629266041637,-8.85001345767515,5.67079766831569e-17,2.98932048515499e-15,27.9137752757211
"290","GOBP_POSITIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_ACTIVITY",0.67565286466389,0.0493398730575061,8.66790600406899,2.09653642140915e-16,9.46810349575103e-15,26.6344445335157
"42","GOBP_INTRACELLULAR_LIPID_TRANSPORT",-0.412268702618435,-0.0341722489553994,-8.63600872610701,2.6317171702828e-16,9.46810349575103e-15,26.4120545483039
"238","GOBP_REGULATION_OF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",-0.816073766010994,-0.0109311546147338,-8.62687126591241,2.80855845950481e-16,9.46810349575103e-15,26.3484416509578
"225","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.386499636611481,-0.00833360800957379,-8.61394188325224,3.07905804739871e-16,9.46810349575103e-15,26.2585020636816
"323","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.386499636611481,-0.00833360800957379,-8.61394188325224,3.07905804739871e-16,9.46810349575103e-15,26.2585020636816
"226","HP_HYPERLIPOPROTEINEMIA",-0.387050688328407,-0.00478049063270881,-8.25404797142123,3.84790499848521e-15,1.09221303418542e-13,23.7894496185823
