"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"45","GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT",-0.426003377473093,-0.00903036390867189,-13.7237777722208,8.61674954376043e-36,3.1795805816476e-33,70.5366837349056
"202","GOBP_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.466391604736611,0.00558877289460791,-13.6185337834431,2.35982285927945e-35,4.35387317537059e-33,69.5403203072615
"70","GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",-0.458353185442483,-0.0112034215342873,-13.2686878983734,6.57343064705132e-34,6.59909962294665e-32,66.2502611542307
"346","GOMF_CHOLESTEROL_BINDING",-0.4328681877681,-0.0291828891813202,-13.2597477793148,7.15349552622943e-34,6.59909962294665e-32,66.1666425705665
"113","GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION",-0.399095696875065,0.00161776391452923,-12.9231806564531,1.69686486782658e-32,1.25228627245601e-30,63.0360096834688
"59","GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS",-0.419842106783104,-0.015547980305728,-12.8617866590424,3.01211535362093e-32,1.85245094247687e-30,62.468683408346
"76","GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS",-0.570014540299631,0.002686833802486,-12.8010053772912,5.31010710146604e-32,2.55683008759071e-30,61.9081890351484
"197","GOBP_REGULATION_OF_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL",-0.783667635896654,-0.0201781395999365,-12.796393581571,5.54326306252728e-32,2.55683008759071e-30,61.8657092676638
"111","GOBP_REGULATION_OF_LIPID_LOCALIZATION",-0.372371491254467,-0.00271535677701798,-12.5737087963995,4.37878977912464e-31,1.7953038094411e-29,59.8227170336421
"43","GOBP_REGULATION_OF_LIPID_TRANSPORT",-0.373899447208818,0.00118401790593484,-12.4393411703561,1.51194056031887e-30,5.57906066757662e-29,58.5979080365287
"203","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.552517932444754,0.015872970205376,-12.3346656769811,3.95325799984232e-30,1.32613836540165e-28,57.6480053136428
"49","GOBP_RESPONSE_TO_LIPID",-0.321040133823375,-0.0171363813744308,-12.0770521467493,4.14200541121047e-29,1.27366666394722e-27,55.3265622183285
"181","GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL",-0.605829019399754,-0.0178080081211725,-11.9813367463951,9.85513151338131e-29,2.79734117572131e-27,54.4701160148862
"283","GOBP_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS",-0.667150831002081,-0.00786249068133602,-11.8676504962485,2.74726315231608e-28,7.24100073717596e-27,53.4572635120834
"102","GOBP_INTERMEMBRANE_LIPID_TRANSFER",-0.433007649560312,-0.0302346082828862,-11.6662656995489,1.66891509106246e-27,3.84893542876281e-26,51.6750733887456
"138","GOMF_LIPID_TRANSFER_ACTIVITY",-0.433007649560312,-0.0302346082828862,-11.6662656995489,1.66891509106246e-27,3.84893542876281e-26,51.6750733887456
"179","GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.466646498383693,-0.00690648062335509,-11.6366223999276,2.17370366612029e-27,4.71821560469639e-26,51.4140584288895
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.831750287223035,-0.00158770765556686,-11.5930707954513,3.20291240308591e-27,6.56597042632612e-26,51.0312012709205
"106","GOBP_LIPID_IMPORT_INTO_CELL",-0.463385410269189,-0.0186624557643828,-11.4303628784193,1.3539932695351e-26,2.62959745504448e-25,49.607499388152
"27","GOBP_REGULATION_OF_LIPID_STORAGE",-0.417989945738077,-0.0138775369133967,-11.3983004167736,1.79658614350704e-26,3.31470143477049e-25,49.3282038051399
"163","GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE",-0.672264034248006,-0.016378057102653,-11.313140995076,3.80031646969661e-26,6.61058047141814e-25,48.5884137500768
"112","GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION",-0.413044807485127,-0.00312930391260941,-11.308992890717,3.94126748973439e-26,6.61058047141814e-25,48.5524545794098
"117","GOCC_PROTEIN_LIPID_COMPLEX",-0.589545893623223,-0.00321236865902837,-11.2567884850289,6.22906331996114e-26,9.99358419593766e-25,48.1005112871026
"160","GOBP_REGULATION_OF_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE",-0.765360390529923,0.00319686475732685,-11.1678184840951,1.35544987271162e-25,2.08400417929411e-24,47.3328942038877
"40","GOBP_LIPID_MODIFICATION",-0.362527870674563,-0.00484528899941806,-11.120210053628,2.0520137035549e-25,2.97491230163686e-24,46.9235033206784
"32","GOBP_LIPID_CATABOLIC_PROCESS",-0.400203185479151,0.00704083352232677,-11.1177642860342,2.09614416917502e-25,2.97491230163686e-24,46.9024977630425
"30","GOBP_PHOSPHOLIPID_TRANSPORT",-0.371706642046787,-0.0157456931437,-11.0647102856262,3.32358438688667e-25,4.54223199541178e-24,46.4474681078166
"26","GOBP_LIPID_LOCALIZATION",-0.315286112102477,-0.00146813709499952,-11.0399701462483,4.11889197590752e-25,5.4281112111067e-24,46.2356898505386
"38","GOBP_LIPID_STORAGE",-0.368066711892125,-0.0168125628863574,-10.9494436787682,9.010412671125e-25,1.14649733642935e-23,45.4630220296082
