"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"277","GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS",-0.722567392348293,-0.0144875344768222,-16.1185135316135,8.1970010890347e-49,2.84988489731547e-46,100.197033359417
"226","HP_HYPERLIPOPROTEINEMIA",-0.565283201925167,-0.0225593948615264,-16.0623183331887,1.54465306087559e-48,2.84988489731547e-46,99.5684632356049
"225","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.494806457663877,-0.0280204900515427,-15.7632402951165,4.43559802534983e-47,4.09183917838522e-45,96.2379074393706
"323","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.494806457663877,-0.0280204900515427,-15.7632402951165,4.43559802534983e-47,4.09183917838522e-45,96.2379074393706
"331","GOBP_CHOLESTEROL_STORAGE",-0.676112248524195,-0.0305822454700129,-15.3093327828558,6.8927392968236e-45,5.08684160105582e-43,91.2328950175194
"276","GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS",-0.63529835310153,-0.0171698124098488,-15.0136700116826,1.78262703734031e-43,1.09631562796429e-41,88.0069109096606
"318","HP_INCREASED_LDL_CHOLESTEROL_CONCENTRATION",-0.550290183515885,-0.026834129865648,-14.895931515995,6.45976850428672e-43,3.40522082583114e-41,86.7301119975524
"324","HP_ABNORMAL_LDL_CHOLESTEROL_CONCENTRATION",-0.482014739559474,-0.0295497435381028,-14.7152810261098,4.61610716981852e-42,2.12917943207879e-40,84.7800351596256
"332","GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_STORAGE",-0.807415150753933,-0.0170484165823287,-14.3284820423459,2.99646750367556e-40,1.22855167650698e-38,80.6424187444752
"360","GOBP_SEQUESTERING_OF_TRIGLYCERIDE",-0.578119780903491,-0.0167494616500737,-14.0814304563352,4.18829150540079e-39,1.54547956549289e-37,78.0277526564866
"316","HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION",-0.381779676123003,-0.0237316562061412,-14.0693464269315,4.76226015773469e-39,1.59752181654918e-37,77.9004404691293
