"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"226","HP_HYPERLIPOPROTEINEMIA",-0.541899644539605,-0.0326869147928083,-14.7068577827341,1.36703602017228e-41,5.0443629144357e-39,83.7160741058777
"60","GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS",-0.506050854523621,-0.0332928330987315,-14.171607516623,3.8706614717775e-39,7.14137041542948e-37,78.126471839571
"211","GOMF_FATTY_ACID_LIGASE_ACTIVITY",-0.595767307917575,-0.0317924806503713,-13.9786871992126,2.89335644413509e-38,3.55882842628616e-36,76.1352639505905
"225","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.457487188845956,-0.029418826388679,-13.7899515241204,2.04459839007191e-37,1.50891361187307e-35,74.1998617131719
"323","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.457487188845956,-0.029418826388679,-13.7899515241204,2.04459839007191e-37,1.50891361187307e-35,74.1998617131719
"169","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.840712082866274,-0.0609965115542747,-13.661864564674,7.65194585926386e-37,4.70594670344727e-35,72.8936794029465
"366","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",-0.574512889330256,-0.0306565025810436,-13.5170316421672,3.37850698393418e-36,1.78095582438816e-34,71.423999270594
"15","GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS",-0.393483526399842,-0.0211934397372564,-13.3027758830149,2.99607580623864e-35,1.38193996562757e-33,69.2643548631347
"349","GOBP_TRIGLYCERIDE_METABOLIC_PROCESS",-0.4129489608643,-0.017305745887055,-13.1763373838829,1.07720792401046e-34,4.41655248844287e-33,67.9981984671962
"358","GOBP_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.479101028913065,-0.0387385333915125,-13.1506458925722,1.3960208775402e-34,4.90764259265138e-33,67.7416911852589
"76","GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS",-0.533315597754579,-0.0207486667092014,-13.1460002583925,1.46298288669824e-34,4.90764259265138e-33,67.6953364385789
"40","GOBP_LIPID_MODIFICATION",-0.33979060167234,-0.0389635222908782,-13.0141960047861,5.50778034436516e-34,1.69364245589229e-32,66.3837623258652
"363","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY",-0.724165123617379,-0.0032816031810072,-12.8917817858443,1.87492064211377e-33,5.32189013030754e-32,65.1719091130353
"188","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.632719458400559,-0.0494208481387597,-12.8474701272225,2.91679505821692e-33,7.68783840344316e-32,64.7347530769753
"271","GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY",-0.574230661066558,-0.0137285919420307,-12.7503677191581,7.66033318017072e-33,1.884441962322e-31,63.7796358777569
"318","HP_INCREASED_LDL_CHOLESTEROL_CONCENTRATION",-0.487802714891739,-0.0270460845900959,-12.6671989149462,1.74606641288759e-32,4.026865664722e-31,62.9647110299961
"247","GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",-0.628196493876436,-0.0221651638175808,-12.6375362908629,2.34083779091213e-32,5.08099496968573e-31,62.6747709208303
"350","GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.574482687450131,-0.0362989100884974,-12.6312513242722,2.4907226059021e-32,5.10598134209931e-31,62.6133859388282
"200","GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS",-0.411454653136945,-0.0241462886602144,-12.5667504185292,4.70464111725727e-32,9.13690827509437e-31,61.9843832902646
"79","GOBP_LIPID_HOMEOSTASIS",-0.37540061857965,-0.0280588147598392,-12.5504617844035,5.52274177984119e-32,1.0189458583807e-30,61.8258211565498
"253","GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING",-0.69467130221365,-0.0160796050324127,-12.508076205438,8.37735501240937e-32,1.40511090889957e-30,61.4137536378726
"361","GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING",-0.69467130221365,-0.0160796050324127,-12.508076205438,8.37735501240937e-32,1.40511090889957e-30,61.4137536378726
"352","GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.621048959715159,-0.0275042947037709,-12.4821645173165,1.08034784656723e-31,1.73325371905786e-30,61.1622261828923
"66","GOBP_GLYCEROLIPID_CATABOLIC_PROCESS",-0.416115953181191,-0.020994991826726,-12.4556329074242,1.40130416270806e-31,2.15450515016364e-30,60.9049833925212
