"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"21","GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS",-0.413343047114645,-0.00734933664342435,-9.1753062600094,8.76885109196155e-19,3.23570605293381e-16,31.9511815275681
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.560434624400186,-0.00204358520651575,9.04459431899999,2.5013509341961e-18,4.6149924735918e-16,30.9285087977784
"224","HP_LIPODYSTROPHY",-0.295906614574565,-0.00734439425814399,-8.68765495442214,4.14101647100465e-17,5.09345025933572e-15,28.1916530657269
"241","GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",-0.556524828713905,-0.0175383405404166,-8.5998272333906,8.15664891866693e-17,7.52450862747024e-15,27.5309788472112
"204","GOBP_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.458727291818988,0.0142766038936929,-8.4370478349203,2.82675080872916e-16,2.08614209684212e-14,26.3200573259464
"205","GOBP_POSITIVE_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.53266917036443,0.0148731579629261,-8.3484724024694,5.51780792756851e-16,3.39345187545464e-14,25.6686235254337
"109","GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.537721184017909,-0.0272494099781445,8.26303465791457,1.0465824069442e-15,5.51698440232014e-14,25.0453130133136
"115","GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSPORT",0.381516672180291,-0.0290259991213918,8.01414972922992,6.56543151201369e-15,2.967881889061e-13,23.2581759659717
"312","GOMF_APOLIPOPROTEIN_RECEPTOR_BINDING",-0.495612941390156,0.0138040247962193,-8.00075301239337,7.23873631478294e-15,2.967881889061e-13,23.1631998913177
"183","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.363061570953451,0.00670337413559746,-7.94939756053739,1.0512244242602e-14,3.87901812552012e-13,22.8002803373818
"231","HP_LIPOATROPHY",-0.311920879209498,0.000530472883525525,-7.89621268608716,1.54403272439599e-14,5.17952795729199e-13,22.4263871875916
"48","GOBP_PHOSPHOLIPID_EFFLUX",0.381572807533915,0.0328737466189267,7.75231681396993,4.32564544662416e-14,1.22885058288449e-12,21.424829551333
"70","GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS",-0.246693782444703,-0.00170745379935402,-7.75219853028803,4.32928389634101e-14,1.22885058288449e-12,21.4240123260571
"277","GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS",-0.379153319517815,0.00405952455508666,-7.59413431971435,1.31976657707169e-13,3.4785276209961e-12,20.3409176027595
"123","GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING",-0.280738756983911,0.00737783806289763,-7.54012241692968,1.92366437642982e-13,4.73221436601736e-12,19.97495063679
"284","GOBP_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",-0.285257114830829,0.00899273070872406,-7.41515053125466,4.56276542798494e-13,1.05228777682903e-11,19.1363322867489
"237","GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.543633404278897,0.00206244836399038,7.32816377321996,8.26804391716429e-13,1.79465188554919e-11,18.559377472556
"185","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.287028923334037,0.0141757239173157,-7.31478141807395,9.05540501060136e-13,1.85635802717328e-11,18.4711125195473
"125","GOMF_LIPID_BINDING",-0.192653748593281,-0.0032867867356265,-7.29558509647598,1.03151685226556e-12,2.00331430782101e-11,18.3447324373662
"74","GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING",-0.268533538798916,0.000530965684015181,-7.2786387305253,1.15695589733485e-12,2.1345836305828e-11,18.2333921767157
"267","GOBP_LIPOPROTEIN_LOCALIZATION",-0.385825458474582,-0.00700598674998562,-7.16906286802073,2.41750619726227e-12,4.24790374661799e-11,17.518621901517
"327","GOBP_REGULATION_OF_CHOLESTEROL_ESTERIFICATION",0.359117777375853,0.0131276776256795,7.1510160229786,2.72715014364574e-12,4.45743500238063e-11,17.4017616599298
"233","GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY",-0.288587304046658,-0.00043398319244775,-7.1482277687364,2.77834702045405e-12,4.45743500238063e-11,17.3837284211165
"282","GOBP_LAMELLIPODIUM_ORGANIZATION",-0.242170180145863,-0.00102994936481978,-6.99829120884898,7.48928120459561e-12,1.15147698520658e-10,16.4226239301939
"159","GOBP_FATTY_ACID_OMEGA_OXIDATION",-0.464735146402173,0.0253487019438155,-6.98373153764049,8.23891303231657e-12,1.21606356356993e-10,16.3302008727638
"296","GOCC_LOW_DENSITY_LIPOPROTEIN_PARTICLE",0.350885661411312,-0.0211916569785805,6.88946678740275,1.52203726649304e-11,2.16012212052282e-10,15.7357232158989
"67","GOBP_LIPID_PHOSPHORYLATION",-0.252342939679778,-0.0175059121747687,-6.75351182338983,3.64523455756373e-11,4.8107912017549e-10,14.8903107621159
"90","GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",0.317279968956124,-0.01120024137989,6.7532868126894,3.6504648685403e-11,4.8107912017549e-10,14.8889233698233
"349","GOBP_TRIGLYCERIDE_METABOLIC_PROCESS",-0.194403622041245,0.0277393589930295,-6.62126136022508,8.41034171318690e-11,1.03064157360627e-09,14.0816347627573
"47","GOBP_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER",-0.47672657581657,-0.00354779487753484,-6.61991601826461,8.4815898324923e-11,1.03064157360627e-09,14.0734782330489
