"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"171","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE",-0.682276446521653,-0.0397393450476091,-9.4808431085889,2.02250400935428e-19,7.4630397945173e-17,33.4020034085324
"156","GOBP_FATTY_ACID_BETA_OXIDATION",-0.446991640784399,-0.0277176174119479,-8.71629144535904,7.09295582445555e-17,1.00830494888696e-14,27.6887275456523
"52","GOBP_LIPID_OXIDATION",-0.401186409244575,-0.031376482449353,-8.69685967628477,8.1976012104631e-17,1.00830494888696e-14,27.5477240618745
"311","GOMF_APOLIPOPROTEIN_A_I_BINDING",0.670891071352385,0.0148311784599844,8.34330513197572,1.09868278520638e-15,1.01353486935288e-13,25.0204023258224
"40","GOBP_LIPID_MODIFICATION",-0.306624576509256,-0.0220077542554418,-8.2756102263274,1.79084685028457e-15,1.32164497551002e-13,24.5449062185152
"188","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.513026297699104,-0.0278774989298755,-8.12398855366818,5.29632449931135e-15,3.25723956707648e-13,23.4899336263555
"158","GOBP_FATTY_ACID_CATABOLIC_PROCESS",-0.376010686133716,-0.0303452764455764,-7.46250784961129,5.08163761922465e-13,2.63541723868427e-11,19.0553589482959
"186","GOBP_REGULATION_OF_FATTY_ACID_OXIDATION",-0.396867219290894,-0.0121208524092763,-7.44496582153619,5.7136417098846e-13,2.63541723868427e-11,18.9415947005472
"169","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.609759756254121,-0.0239398463974443,-7.39328317733215,8.0610906728832e-13,3.30504717588211e-11,18.6076041507154
"301","GOCC_DIHYDROLIPOYL_DEHYDROGENASE_COMPLEX",-0.526813674623014,-0.0366137142666141,-7.13459890628673,4.39571550576879e-12,1.62201902162868e-10,16.9627753241441
"352","GOBP_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.412215252103274,-0.0111460168327296,-6.91011067305061,1.84673366896539e-11,6.15926699530925e-10,15.5723706654948
"179","GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.347763579917935,-0.0121363699471874,-6.89724219557188,2.00301365701114e-11,6.15926699530925e-10,15.4937270310476
"172","GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE",-0.4469344993161,-0.0413503925635527,-6.48639378540967,2.52128312912825e-10,7.15656518960249e-09,13.0445800643028
"154","GOBP_FATTY_ACID_METABOLIC_PROCESS",-0.25217326588984,-0.0236739982583004,-6.39886138190696,4.25835614334421e-10,1.05389339604467e-08,12.5384972810071
"153","GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.277756812053534,-0.0252357732736955,-6.39784861126904,4.28411949611653e-10,1.05389339604467e-08,12.5326745985183
"164","GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.257055626631386,-0.0100175938278874,-6.25607124640517,9.89442581908543e-10,2.28190195452658e-08,11.7250203409059
"353","GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE",-0.403479468134408,0.0123638359083475,-6.20052143697663,1.3680111351051e-09,2.96938887561049e-08,11.4126373881381
"109","GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.509033499930316,-0.00202271247173728,5.97177291969816,5.07057946374116e-09,1.03946879006694e-07,10.1506977852364
"360","GOBP_SEQUESTERING_OF_TRIGLYCERIDE",-0.348199956183576,-0.00350629903004869,-5.95152447867769,5.68339078973096e-09,1.10377431653196e-07,10.0409033660051
"267","GOBP_LIPOPROTEIN_LOCALIZATION",-0.389366049753729,-0.0110543873021756,-5.81070631231925,1.24595737498475e-08,2.29879135684686e-07,9.28602736731753
"162","GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT",-0.247776514656638,-0.00494779596168944,-5.79243432772047,1.37803415716356e-08,2.42140287615883e-07,9.18919737681031
"155","GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS",-0.229059960844728,-0.0187070606845171,-5.77924465958431,1.48175910804922e-08,2.48531414031892e-07,9.11946106176357
"356","GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",-0.486290176310633,0.00580084176339709,-5.73559022904053,1.88227743672393e-08,3.01982771370056e-07,8.88961410845792
"350","GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",-0.327113883480747,-0.0204971453698261,-5.70511991005855,2.22246853932473e-08,3.41704537921177e-07,8.73006153707842
"51","GOBP_LIPID_DROPLET_ORGANIZATION",-0.29536286915154,-0.0190126576837166,-5.66719550987172,2.7302886204735e-08,4.02990600381889e-07,8.53248852222434
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.367487566070086,-0.0198782069010792,-5.64175476352133,3.13252560912658e-08,4.4457767298758e-07,8.40058133808089
"168","GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.3435416718142,-0.010084897751121,-5.6083773236164,3.74864180724383e-08,5.12314380323323e-07,8.22829299917924
"34","GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS",-0.200776537388769,-0.0147939969555654,-5.48354066602853,7.28157150092393e-08,9.59607101371761e-07,7.59169026455986
"303","GOMF_LIPOPOLYSACCHARIDE_BINDING",0.301498431499626,0.000499843685773201,5.45128752744749,8.62726463176526e-08,1.09774505142117e-06,7.42922226861149
"28","GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE",-0.288264601668158,-0.0039997002540512,-5.43742212393036,9.27739470725771e-08,1.1411195489927e-06,7.35963276836461
"159","GOBP_FATTY_ACID_OMEGA_OXIDATION",-0.459168023971396,0.00891332778357927,-5.42924118582146,9.68305927396299e-08,1.15259641035237e-06,7.31864505775177
"39","GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",-0.21886296205141,-0.0275221269753055,-5.38270818025548,1.23396226972754e-07,1.41929167244963e-06,7.0865239128594
"209","GOMF_FATTY_ACID_BINDING",-0.279912121595276,0.000227709684832111,-5.37726984050996,1.26928523552406e-07,1.41929167244963e-06,7.05950875522635
"103","GOBP_LIPID_DROPLET_FORMATION",-0.354107295198889,-0.0454355216314791,-5.35005095994833,1.46135724748702e-07,1.58600242447856e-06,6.9246539860938
"217","GOMF_FATTY_ACID_DERIVATIVE_BINDING",-0.323187600872738,-0.0305432584231528,-5.33404707204501,1.58716104941767e-07,1.67332122067177e-06,6.84564083732309
"234","GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY",-0.276540361153505,-0.00736082551557756,-5.25959143250771,2.32449387765442e-07,2.38260622459578e-06,6.48075366784143
"185","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.268659394487408,-0.00678941257782002,-5.25361888649654,2.39628698577919e-07,2.38981053446627e-06,6.45167753374006
"56","GOBP_CELLULAR_LIPID_METABOLIC_PROCESS",-0.184905170167977,-0.0238896330526348,-5.23803105537362,2.59393691371371e-07,2.51884926621148e-06,6.37592718958218
