"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"109","GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.697491049617963,-0.00619864216719285,11.5828798954797,5.083676980007e-28,1.87587680562258e-25,52.8275256651135
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.505985144517862,-0.0519573758259587,-11.4669546384646,1.51578955978243e-27,2.79663173779858e-25,51.7518257718869
"95","GOBP_NEGATIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY",0.604776340006319,-0.00597326997651022,11.1954308683976,1.9072801897578e-26,2.3459546334021e-24,49.2588798140708
"81","GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS",0.602690336784294,0.00452554811748505,10.8510441219458,4.48151161549544e-25,3.95226726986436e-23,46.1521250010427
"86","GOBP_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",0.468069264260829,0.015793273980088,10.8314034292369,5.35537570442326e-25,3.95226726986436e-23,45.9768491884851
"39","GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",0.321832390793426,-0.00308935186030683,10.6587342298243,2.54117686085475e-24,1.56282376942567e-22,44.4449577369389
"251","GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS",0.520012829184079,-0.0116197175793288,10.5416962864204,7.23389002584288e-24,3.31747296196138e-22,43.4159422178662
"108","GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.353400162688624,0.00403492408981569,10.5298469356569,8.03872260993129e-24,3.31747296196138e-22,43.312185589083
"334","GOBP_REGULATION_OF_INTESTINAL_CHOLESTEROL_ABSORPTION",-0.586837948191088,-0.0293257316135109,-10.5291130339601,8.09139746819848e-24,3.31747296196138e-22,43.3057618958926
"185","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",-0.357066361665975,-0.0227311551600153,-10.4683428314272,1.38817644142821e-23,5.1223710688701e-22,42.77489960304
"350","GOBP_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",0.44063313023113,-0.00453491964269858,10.3845713135015,2.91151945723763e-23,9.76682436109715e-22,42.0465174696661
"90","GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS",0.435988373848543,-0.00574549902080412,10.3508705787445,3.9178031382479e-23,1.20472446501123e-21,41.7546160712745
