"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"242","GOBP_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.509022936391904,0.0197452006171204,7.08170916243061,4.13818878377167e-12,1.52699166121175e-09,17.0350939657474
"203","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT",-0.457875923748631,-0.0160568663487508,-6.84243062244363,1.98461003964951e-11,3.47368149961651e-09,15.5320193764701
"318","HP_INCREASED_LDL_CHOLESTEROL_CONCENTRATION",-0.386655481862541,-0.0273894893943246,-6.78764898616808,2.82413130050123e-11,3.47368149961651e-09,15.1940428635165
"68","GOBP_GLYCOLIPID_TRANSPORT",0.619644012746963,-0.023007876201386,6.70576406327357,4.76458077059318e-11,4.39532576087221e-09,14.6931592602271
"226","HP_HYPERLIPOPROTEINEMIA",-0.366951050147938,-0.0100810693914673,-6.67052489448979,5.95774452663378e-11,4.39681546065573e-09,14.4791990296981
"74","GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING",-0.312041269112997,-0.013099249908692,-6.5185878809564,1.54438397771392e-10,9.49796146294059e-09,13.5677480245923
"256","GOBP_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY",0.457933026301983,0.0186780175289416,6.46115697258724,2.20334032968296e-10,1.10453314863001e-08,13.2279292408015
"267","GOBP_LIPOPROTEIN_LOCALIZATION",-0.479643080651579,-0.0296584164578427,-6.44763932599911,2.394651812748e-10,1.10453314863001e-08,13.1483222367991
"129","GOMF_ATPASE_COUPLED_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.624496025165359,-0.00405296991749669,6.386701284849,3.47921858065303e-10,1.42647961806774e-08,12.7912394901659
"187","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION",-0.45029416754177,-0.0171251556185931,-6.30265520125636,5.79636434369299e-10,2.13885844282271e-08,12.3035693200594
"239","GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.390281711332707,0.0099622658781667,6.23690617063909,8.60748946800125e-10,2.88742146699315e-08,11.9259804460235
"240","GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.499596252892194,0.0191551701825208,6.08965626964135,2.06078362030437e-09,6.14423184993996e-08,11.0928875590458
"11","GOBP_OLIGOSACCHARIDE_LIPID_INTERMEDIATE_BIOSYNTHETIC_PROCESS",0.462179511320023,-0.0193211391047618,6.08127589159671,2.16463452707912e-09,6.14423184993996e-08,11.0459982495328
"170","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.481692720598932,-0.0113700236953911,-6.05529242490065,2.52018064188263e-09,6.64247612039066e-08,10.9009776144468
"168","GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION",-0.386811872523607,-0.0254278024589593,-5.95969571238976,4.38931975315039e-09,1.05327988970067e-07,10.3721291845858
"115","GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSPORT",0.444814242048822,-0.0232796874027152,5.9528070736822,4.56706727241482e-09,1.05327988970067e-07,10.3343070933415
"224","HP_LIPODYSTROPHY",-0.265739085132217,-0.0405572323257148,-5.89757902729352,6.2698059882905e-09,1.360916711576e-07,10.0324735711251
"290","GOBP_POSITIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_ACTIVITY",0.568685109068608,-0.0114486203903172,5.87593865154086,7.09389572654311e-09,1.45424862394134e-07,9.91488230910803
"225","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.285398127083885,-0.0144333090659781,-5.84362294272442,8.52441519265005e-09,1.57275460304393e-07,9.73999500973979
"323","HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION",-0.285398127083885,-0.0144333090659781,-5.84362294272442,8.52441519265005e-09,1.57275460304393e-07,9.73999500973979
"215","GOMF_LONG_CHAIN_FATTY_ACYL_COA_BINDING",0.533936068702283,-0.00963148087501713,5.83426580595914,8.98868883829334e-09,1.57944103872869e-07,9.68951526513669
"37","GOBP_GLYCOLIPID_CATABOLIC_PROCESS",0.469875055303127,-0.00882521536815796,5.82031033818579,9.72722647635776e-09,1.63152116808001e-07,9.61436177188381
"69","GOBP_PHOSPHOLIPID_DEPHOSPHORYLATION",-0.333095491341031,-0.00527796888265845,-5.74440154963209,1.49043333179643e-08,2.34712645561092e-07,9.20837473475721
"206","GOMF_FATTY_ACID_SYNTHASE_ACTIVITY",0.436163666481355,-0.0312843264041482,5.74011312727099,1.52658631259247e-08,2.34712645561092e-07,9.18558015847155
"80","GOBP_PHOSPHOLIPID_HOMEOSTASIS",0.399133901288123,-0.015973551084089,5.71655791699849,1.74091630714333e-08,2.56959246934356e-07,9.06064562239856
"243","GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.523792614020812,0.0416573795861871,5.7063133381018,1.84302528275712e-08,2.61567818975914e-07,9.00645216775756
