row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000170549	508.800310606583	-8.80773655566718	0.335704105318294	-26.2366066310575	1.01632258856334e-151	1.90326731160257e-147	IRX1
ENSG00000066230	3199.34175975154	-7.37232325353805	0.301090293630089	-24.4854231753996	2.11219535090927e-132	1.9777541168239e-128	SLC9A3
ENSG00000198691	900.391306876764	-7.41053432817241	0.307695312882196	-24.0840013413191	3.67765682673543e-128	2.29571597980915e-124	ABCA4
ENSG00000099834	738.884311016875	-7.63856735694442	0.319820447761437	-23.8839242781695	4.4999211918476e-126	2.10675060399325e-122	CDHR5
ENSG00000145626	1068.3794904664	-9.54592018368273	0.400857756301576	-23.813734507113	2.40692866125514e-125	9.01491060786501e-122	UGT3A1
ENSG00000198398	219.256101142696	-11.0151615627844	0.466531826858803	-23.610739779428	2.98969412244054e-123	9.33133363849066e-120	TMEM207
ENSG00000139540	834.566852705009	-8.02887943075999	0.344746943542375	-23.2891968475802	5.7044696933607e-120	1.52610862782237e-116	SLC39A5
ENSG00000184672	213.770046015219	-8.81829802220422	0.380806439341604	-23.1569036423088	1.23863170605779e-118	2.89948199491803e-115	RALYL
ENSG00000114638	113.311378977211	-8.52677409776486	0.370268500221691	-23.0286240732323	2.40917978748733e-117	5.01296776447502e-114	UPK1B
ENSG00000167580	50206.7995328954	-11.1543242899708	0.48483796189115	-23.0062931674377	4.03196397843419e-117	7.55065894241371e-114	AQP2
ENSG00000164853	38.1058693049146	-9.20104982107579	0.40622176232536	-22.6503124017917	1.38525576654598e-113	2.35833497637333e-110	UNCX
ENSG00000135220	704.958752965529	-9.51130931246286	0.421351109239766	-22.5733577149563	7.91976543655542e-113	1.23594539441978e-109	UGT2A3
ENSG00000167749	4773.42876923615	8.98246432274248	0.398064870589341	22.5653278809652	9.49669711771608e-113	1.36803574556515e-109	KLK4
ENSG00000156413	427.691881173517	-9.01362600273057	0.401587341743899	-22.4449953118262	1.43218863152443e-111	1.91575689303986e-108	FUT6
ENSG00000104327	3704.84715729058	-8.56626778344604	0.382838068060854	-22.3756948383837	6.7891887761922e-111	8.47607588078343e-108	CALB1
ENSG00000174562	2200.87895192284	7.56401398853691	0.342547233678518	22.0816671245863	4.74266406458605e-108	5.55099187109394e-105	KLK15
ENSG00000160951	265.008776269825	-7.74242347842506	0.351063588312032	-22.0541911385679	8.70743389702585e-108	9.59200674056489e-105	PTGER1
ENSG00000277639	605.181437545339	-5.23106435715675	0.237407150006533	-22.0341483270946	1.35570916195806e-107	1.41046474866603e-104	AC007906.2
ENSG00000127831	307.587820244848	-8.3633031465155	0.379796651699971	-22.0204762445412	1.83327149213419e-107	1.80693027543142e-104	VIL1
ENSG00000142515	879.011773271361	6.54955285136777	0.2989776668842	21.9064952898456	2.25264332011522e-106	2.10926257278989e-103	KLK3
ENSG00000126733	34.2564847836039	-6.95247465983547	0.317977851733692	-21.8646507042201	5.63953231481852e-106	5.02912007902888e-103	DACH2
ENSG00000124243	3444.22669271578	2.66748103455152	0.123028357738077	21.6818389157927	3.04468649303713e-104	2.59172017977756e-101	BCAS4
ENSG00000099822	5290.75696216256	5.83804190420854	0.272684541548777	21.4095081116443	1.08956576491528e-101	8.87143394763847e-99	HCN2
ENSG00000103253	4951.58565542532	4.35849422897936	0.203738274827191	21.3926137966771	1.56536888451143e-101	1.22144429584356e-98	HAGHL
ENSG00000170482	309.724291499598	-6.27153062219394	0.294909568101424	-21.2659448880176	2.34715950104704e-100	1.75821023904431e-97	SLC23A1
ENSG00000154025	332.966533094334	-6.93135849108511	0.326234835489849	-21.2465308331574	3.54942272561948e-100	2.55653997625677e-97	SLC5A10
ENSG00000164764	712.427116497744	-4.93028421065227	0.232174969066252	-21.2352099387828	4.51669832534842e-100	3.13274850143703e-97	SBSPON
ENSG00000147647	1306.38380587161	-8.809349823785	0.417512647634381	-21.0995999131969	8.02118997137142e-99	5.36474373549545e-96	DPYS
ENSG00000127561	3596.9649374861	5.09197706609795	0.24322415745237	20.9353261593479	2.5531177372858e-97	1.64869778848797e-94	SYNGR3
ENSG00000095627	38.7458781029211	-6.34235086966944	0.303174483472325	-20.9198043220165	3.53561713388355e-97	2.20705006887458e-94	TDRD1
ENSG00000172367	120.282606034897	-7.38825612008854	0.353962422681394	-20.8729956816315	9.42390763301794e-97	5.69295220140409e-94	PDZD3
ENSG00000144035	3160.95510735003	-9.6974530235608	0.465605615351345	-20.82761183248	2.43293543241251e-96	1.42379943258716e-93	NAT8
ENSG00000021488	364.259502967358	-8.03951566009899	0.386910266036477	-20.778760259985	6.7376043371639e-96	3.82348837642632e-93	SLC7A9
ENSG00000107611	3370.25428954649	-7.02304526589996	0.340225030006349	-20.6423532853209	1.14356965146144e-94	6.2987143714466e-92	CUBN
ENSG00000118526	703.920079972423	-5.59645028520127	0.271211062006378	-20.6350369479755	1.33043658809134e-94	7.11859599576758e-92	TCF21
ENSG00000183747	1598.38370888903	-9.46565689170192	0.459677364470704	-20.5919578019709	3.24008363433731e-94	1.68547350611763e-91	ACSM2A
