row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000147689	6502.80380247561	6.77938716910936	0.234754133789709	28.8786700351879	2.21264891852857e-183	4.2865647498654e-179	FAM83A
ENSG00000183010	5192.36486603481	3.71009747437819	0.128874002141517	28.7885641225304	2.98262042675994e-182	2.88911527638101e-178	PYCR1
ENSG00000165312	1113.15127800851	-2.11096524067944	0.0814125871806447	-25.9292243838838	3.11930824954685e-148	2.01434529061571e-144	OTUD1
ENSG00000116016	27385.0489384184	-2.71285507495638	0.109833679742344	-24.6996648142937	1.07838869981307e-134	5.22290607036966e-131	EPAS1
ENSG00000162062	271.965660519989	3.51495070258213	0.144647743683956	24.3000728048826	1.95684961515597e-130	7.58200951888332e-127	C16orf59
ENSG00000235387	61.1602557027697	-2.70595918597093	0.111479766717456	-24.2730969542584	3.77195759510576e-130	1.04391620699977e-126	SPAAR
ENSG00000175832	2126.01534078287	3.8397240651087	0.158152296868242	24.2786487527754	3.29561053213794e-130	1.04391620699977e-126	ETV4
ENSG00000261371	11950.4176275043	-2.3110746341632	0.0953315410941495	-24.2424973690584	7.93378192392639e-130	1.92126446515282e-126	PECAM1
ENSG00000179913	2036.21960375724	4.37907439278711	0.181963944882981	24.0656158317696	5.72970766115706e-128	1.23335140577329e-124	B3GNT3
ENSG00000258947	361.761678389714	4.73311192482353	0.197471612599984	23.9685687603683	5.91738574040913e-127	1.14637513948946e-123	TUBB3
ENSG00000183856	1360.49679916828	3.61414397341029	0.151027517220784	23.9303673921015	1.47964423730651e-126	2.60592252812173e-123	IQGAP3
ENSG00000131747	5335.00067788085	3.8627786517035	0.16157340162468	23.9072682314159	2.57350473392574e-126	4.15470893419528e-123	TOP2A
ENSG00000186193	724.341945308069	3.7667005076926	0.159818271985799	23.5686474449386	8.08406106248061e-123	1.2047116535649e-119	SAPCD2
ENSG00000170989	1748.11962704747	-2.84187783702347	0.120702693385856	-23.5444442647084	1.43114720677712e-122	1.98040105977809e-119	S1PR1
ENSG00000139567	2233.12119650085	-2.56298209438159	0.108959873751636	-23.5222564613434	2.41468577541111e-122	3.1186471684693e-119	ACVRL1
ENSG00000135604	545.911276095104	-2.99770666394525	0.127561902000026	-23.5000154195305	4.07725476182866e-122	4.93679103130667e-119	STX11
ENSG00000102760	3388.50496712188	-2.86459747068741	0.122686436908426	-23.348933613791	1.41296749304042e-120	1.61020113192188e-117	RGCC
ENSG00000010319	718.515721521731	-3.21578357677073	0.138424929224676	-23.2312459524629	2.20140958098669e-119	2.36932821180307e-116	SEMA3G
ENSG00000213853	17902.3570603893	-2.73934841146509	0.118473090599955	-23.1221148835813	2.77458166379792e-118	2.82905108277669e-115	EMP2
ENSG00000090889	864.025906412868	3.82996425844371	0.167395472374678	22.8797362563736	7.39468108047229e-116	7.16285782859948e-113	KIF4A
ENSG00000120156	955.649247290688	-3.24017198948789	0.141971228131421	-22.8227369174302	2.7269019794951e-115	2.51563200232184e-112	TEK
ENSG00000182010	2108.31140409889	-4.04920374391651	0.177591158121066	-22.8007057713769	4.51180199271075e-115	3.97305181839934e-112	RTKN2
ENSG00000122679	1112.69712172459	-3.21247269954761	0.140907343416678	-22.7984760882759	4.74755578211975e-115	3.99888687682634e-112	RAMP3
ENSG00000077152	826.494750197413	3.3034444505395	0.146669342661632	22.5230739470933	2.46651720006417e-112	1.9909932382018e-109	UBE2T
ENSG00000070778	1267.69888759852	-2.44309551929638	0.108512513857225	-22.5144126926309	2.99885576190887e-112	2.32387330701842e-109	PTPN21
ENSG00000128165	757.786339305203	3.46986260967476	0.1541417693256	22.510852346227	3.24962987180085e-112	2.42134921178453e-109	ADM2
ENSG00000254726	1312.43081509848	4.1800187701283	0.186030586253338	22.4695242557367	8.24698807729908e-112	5.91736666746352e-109	MEX3A
