row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000123500	2663.652363057	6.97548845329044	0.351322890775445	19.8549216018747	9.99183467918183e-88	1.95170506788459e-83	COL10A1
ENSG00000170373	4026.52422472982	7.11989602170862	0.384907001262623	18.4977046360627	2.15456564989359e-76	2.10425654196857e-72	CST1
ENSG00000164283	490.678849475657	4.71814096791821	0.258080531060562	18.2816617298848	1.15842261893853e-74	7.54248967190879e-71	ESM1
ENSG00000188611	376.924203130035	-4.51399843151197	0.274642589862277	-16.4359010515288	1.05839790773296e-60	5.168421582937e-57	ASAH2
ENSG00000182156	374.432090880101	-6.87715616655411	0.436926763013169	-15.7398373107825	8.06507618156538e-56	3.15070266109033e-52	ENPP7
ENSG00000120254	1873.09391448009	1.87251697117298	0.119475068274441	15.6728679733557	2.31875881749448e-55	7.54871933035327e-52	MTHFD1L
ENSG00000180818	966.465155779082	6.55820348360273	0.419236090647715	15.6432225896162	3.69543758372925e-55	1.03118546175691e-51	HOXC10
ENSG00000060718	1658.86941768711	5.94166347161987	0.383002083213302	15.5133972686797	2.81578033529326e-54	6.87507966116041e-51	COL11A1
ENSG00000166317	95.9500729325028	-4.81192863414671	0.319386549574792	-15.0661592999234	2.70380825353437e-51	5.86816517958743e-48	SYNPO2L
ENSG00000105989	421.962772816544	4.46449674356449	0.299831050224664	14.8900413756989	3.82532724941315e-50	7.47201171627871e-47	WNT2
ENSG00000157766	791.786196605263	3.58887778882496	0.242233561839741	14.8157743360077	1.15846547762719e-49	2.05711874313563e-46	ACAN
ENSG00000164932	2543.50157344401	3.47835297419693	0.236971536509532	14.678357685616	8.87131636399945e-49	1.44402852115001e-45	CTHRC1
ENSG00000114346	6332.70749409208	2.39191063113467	0.163344038351661	14.6433910614182	1.48474452599894e-48	2.2308857558721e-45	ECT2
ENSG00000118193	940.129095629469	2.53853929546467	0.174552883117432	14.5430957663234	6.46036645964552e-48	9.01359557544686e-45	KIF14
ENSG00000122641	3935.38055883739	3.4086326634874	0.235319209217205	14.4851441360282	1.50406825579057e-47	1.95859768269048e-44	INHBA
ENSG00000092853	970.553939729334	2.31873381922313	0.162866650859446	14.2370080491444	5.39895215761179e-46	6.20339602909594e-43	CLSPN
ENSG00000108839	368.109133914605	-3.89886041436933	0.273846756276408	-14.2373803048958	5.37027499966909e-46	6.20339602909594e-43	ALOX12
ENSG00000159228	3234.11679960481	-2.36904321287174	0.166603505810323	-14.2196480281086	6.92001059277299e-46	7.50936482825749e-43	CBR1
ENSG00000050344	4323.46005491036	2.26259442376374	0.159467401912919	14.1884447643995	1.0802800840432e-45	1.11058478324293e-42	NFE2L3
ENSG00000099953	6083.46602704615	4.24947203135914	0.301687402989281	14.0856793795601	4.65163712829052e-45	4.54302140134493e-42	MMP11
ENSG00000101115	460.316418068485	4.95362695065802	0.352658261568625	14.0465359541678	8.08952682245435e-45	7.52441559157147e-42	SALL4
ENSG00000143631	502.845652821953	-6.07201370785989	0.436517415896351	-13.9101293252905	5.49799491670805e-44	4.8814697594572e-41	FLG
ENSG00000123473	1856.75835228907	2.22624389000302	0.160137804689192	13.9020507638648	6.15521534584544e-44	5.22738353697386e-41	STIL
ENSG00000148848	1385.40675372356	3.70263762654843	0.267834007806529	13.8243744955011	1.81684865975013e-43	1.47868770295413e-40	ADAM12
ENSG00000169906	78.9883584109023	-5.74163300026931	0.418290790510493	-13.7264150455287	7.05383725685669e-43	5.51130412552727e-40	S100G
ENSG00000172689	273.704153789121	-6.77114996037609	0.496515730231783	-13.637332209425	2.40187583568128e-42	1.73762372956898e-39	MS4A10
ENSG00000118094	222.585206469557	-4.04722901629391	0.296735687553305	-13.6391717816782	2.34205326865332e-42	1.73762372956898e-39	TREH
ENSG00000151388	1881.24615026551	3.09589116172917	0.227604407973271	13.6020703170772	3.89256497219053e-42	2.71548112863563e-39	ADAMTS12
ENSG00000163815	453.201285304591	-3.42853656612637	0.252409881287554	-13.5832105646469	5.03692118214574e-42	3.39262694658113e-39	CLEC3B
ENSG00000180806	219.120262235162	4.35180493384341	0.320686915584434	13.5702603453979	6.01081588511786e-42	3.91364222280024e-39	HOXC9
ENSG00000187730	157.270564879664	2.99396100567346	0.221679513329505	13.505808275676	1.44518879392973e-41	9.10608797155786e-39	GABRD
ENSG00000154269	171.588691681629	-4.46239076472304	0.331501653952995	-13.4611417816811	2.64792610249516e-41	1.61631064250118e-38	ENPP3
ENSG00000196584	556.157387869031	2.18753756107987	0.164600870893624	13.2899513180194	2.64750409189943e-40	1.56708174021429e-37	XRCC2
ENSG00000142583	675.385485671656	-3.38838784879947	0.255173489911067	-13.2787612458504	3.07438017703024e-40	1.76623141170387e-37	SLC2A5
ENSG00000123388	434.152768767527	4.38596929733611	0.330653810708006	13.2645357630833	3.71715633756334e-40	2.07449184976071e-37	HOXC11
ENSG00000100191	67.0256465917923	-3.45564954447263	0.262529485357424	-13.1629006919657	1.43470181734999e-39	7.78445294397147e-37	SLC5A4
ENSG00000168748	44.2334882577968	-4.56614401798409	0.349984746075451	-13.0466943750734	6.63649805474946e-39	3.50353287847084e-36	CA7
ENSG00000156802	3983.95296012911	1.96267052914001	0.150637692414792	13.0290798914766	8.36098002163445e-39	4.29776375691015e-36	ATAD2
ENSG00000136881	372.868504928655	6.18200477887804	0.476790812293588	12.9658638956143	1.91065565925625e-38	9.33020924806308e-36	BAAT
ENSG00000119969	1971.69034894249	1.95568484515441	0.150818094730792	12.9671764428882	1.87822509687893e-38	9.33020924806308e-36	HELLS
ENSG00000137807	1833.1015783059	2.1168925188608	0.164706876346984	12.8524841573779	8.32918646666888e-38	3.96814632325472e-35	KIF23
ENSG00000029559	77.1828139611539	6.77034527724674	0.526881944505633	12.8498335307339	8.61955313529755e-38	4.00870789028017e-35	IBSP
ENSG00000172167	510.373392564616	1.8653451766322	0.145748247673652	12.7984055136562	1.6735215187375e-37	7.60206879662779e-35	MTBP
ENSG00000185686	766.07798090273	6.32372226453191	0.494367643661026	12.7915375239806	1.8282079762829e-37	8.11599690925769e-35	PRAME
ENSG00000141434	617.926243693412	-5.94196953298105	0.465627548499754	-12.7612070035933	2.69984936351639e-37	1.17191461372368e-34	MEP1B
ENSG00000100889	3268.31374377084	-2.36063869172346	0.185533614108863	-12.7235094463171	4.37748709903232e-37	1.85881425011736e-34	PCK2
ENSG00000163507	828.689302046468	1.72143089205342	0.13573534590994	12.6822595876801	7.41626276001385e-37	3.08216724449682e-34	KIAA1524
ENSG00000112242	1511.47695809826	1.31191300770111	0.103581218472744	12.6655490932105	9.17759360636211e-37	3.73470699818898e-34	E2F3
ENSG00000156222	75.035316880356	-4.9509973258642	0.39293989853616	-12.5998844716671	2.11454003116201e-36	8.42924702626278e-34	SLC28A1
ENSG00000167768	178.512179525856	-5.89595282127948	0.468443819620245	-12.586253835218	2.5132029359835e-36	9.81807858971314e-34	KRT1
ENSG00000134531	15682.9361786741	-3.21835277628043	0.255912060528479	-12.5760105625123	2.86118014646921e-36	1.09583199609771e-33	EMP1
ENSG00000142959	84.2678997712831	-3.40635410786479	0.270941679363475	-12.5722779746082	2.99954761401789e-36	1.11794993653209e-33	BEST4
ENSG00000163283	239.639278749612	6.45487387294665	0.513457414340394	12.5713909131857	3.03339715538834e-36	1.11794993653209e-33	ALPP
ENSG00000174442	1611.20700461031	1.41609297298654	0.112711304224136	12.5638948349893	3.33502552493643e-36	1.20635284404784e-33	ZWILCH
ENSG00000137868	850.561136866266	4.32495850950387	0.344404150983697	12.5578001808364	3.60208772318764e-36	1.27926508176408e-33	STRA6
ENSG00000174371	776.243704789278	2.16569040545618	0.172890736266656	12.52635307259	5.35698898745666e-36	1.86853689092841e-33	EXO1
ENSG00000159388	12877.8182504527	-2.41455500795866	0.192960297920163	-12.5132218077197	6.3207544261337e-36	2.16602274045034e-33	BTG2
ENSG00000108821	251714.329313342	2.97372243696239	0.238229443918034	12.4825982382998	9.29046930710163e-36	3.12880580992442e-33	COL1A1
ENSG00000186185	1672.33141458334	2.24620985856693	0.180761823291717	12.4263509720299	1.8802296498405e-35	6.22483487293804e-33	KIF18B
ENSG00000154920	273.683732590827	2.17825819581275	0.175423512135534	12.4171393520488	2.10971016806337e-35	6.8681614521303e-33	EME1
ENSG00000011426	4127.7279094564	2.03453024156475	0.163981395573868	12.4070796839161	2.39219787462506e-35	7.66013132541824e-33	ANLN
ENSG00000140525	2815.05731581398	1.83630562481305	0.148095136516425	12.3994998620997	2.6295972516852e-35	8.28450372857532e-33	FANCI
ENSG00000117724	5584.36173533566	2.27734810596563	0.183775655682577	12.3920009835205	2.88747451989834e-35	8.95254599955147e-33	CENPF
ENSG00000136982	764.246823423002	1.93298901244369	0.156072521543398	12.3851975564206	3.14309950998782e-35	9.59283792634251e-33	DSCC1
ENSG00000138029	5580.2854504123	-1.00617142850025	0.081301884485731	-12.3757454684441	3.53595896514319e-35	1.06258286870988e-32	HADHB
ENSG00000138030	711.727008942114	-2.73246490264655	0.220982413173494	-12.3650785752859	4.03816255650035e-35	1.19511256388063e-32	KHK
ENSG00000139433	3222.8033583029	-1.88933859180518	0.152833828463324	-12.3620445211746	4.19353386416644e-35	1.2225715965487e-32	GLTP
ENSG00000125207	343.43861402889	6.12824517110413	0.496108144946879	12.352639708748	4.7138910012136e-35	1.35406519009861e-32	PIWIL1
ENSG00000162461	193.233873611917	-2.95146222880376	0.239392033150681	-12.3289910276422	6.3233530330788e-35	1.79005876514679e-32	SLC25A34
ENSG00000197472	133.872263379151	2.93175713929618	0.238059302061814	12.3152387405342	7.49929261996385e-35	2.09262403922505e-32	ZNF695
ENSG00000143476	1485.57291472765	1.98199395132925	0.161843167573177	12.2463863074918	1.75649781590224e-34	4.83234814619979e-32	DTL
ENSG00000168060	491.079832610432	-3.12302237995243	0.255932120278706	-12.2025417386122	3.01270534969165e-34	8.17321855493432e-32	NAALADL1
ENSG00000005073	273.325167645213	4.78354816031204	0.392059857260721	12.2010659130832	3.06781497790751e-34	8.20871643335169e-32	HOXA11
ENSG00000144655	3317.47811957711	-1.9371326499757	0.158991654709001	-12.1838636972563	3.78897487750389e-34	1.0001357605714e-31	CSRNP1
ENSG00000102384	416.970149053381	1.80117491764957	0.147862191152681	12.1814434346485	3.90312219635953e-34	1.0071712067182e-31	CENPI
ENSG00000088325	6517.34165491073	2.19660827639606	0.180328962263357	12.1811174911996	3.91875347927013e-34	1.0071712067182e-31	TPX2
ENSG00000197587	107.563180795157	4.68370270082304	0.384839971890402	12.1705203277504	4.46228843883729e-34	1.131972468517e-31	DMBX1
ENSG00000071539	1407.70374880433	2.23562300893613	0.184340865635684	12.1276581903138	7.53741605344603e-34	1.88754292015335e-31	TRIP13
ENSG00000182492	32398.252077342	2.55868412839987	0.211086182834223	12.121514037749	8.1244238285783e-34	2.00878950181797e-31	BGN
ENSG00000162849	2053.29716523076	2.63337518646495	0.217287004331865	12.1193404758021	8.34277821284167e-34	2.03699358539295e-31	KIF26B
ENSG00000172425	50.055852508801	-2.9404017389459	0.24315494293255	-12.0927080629471	1.15418527864855e-33	2.78329642565952e-31	TTC36
ENSG00000087116	4492.366470771	2.68150228338743	0.221902488466619	12.0841469688647	1.28092657496897e-33	3.05126082791084e-31	ADAMTS2
ENSG00000196950	2000.82103352586	1.73366216691807	0.143668462487689	12.0671032243184	1.57584283643264e-33	3.70854676193239e-31	SLC39A10
ENSG00000065328	751.471087198811	2.24107988523518	0.185748018554607	12.0651617318671	1.61345095393143e-33	3.75184970037411e-31	MCM10
ENSG00000121621	780.523172629313	2.0705375497515	0.172010971363347	12.037241190725	2.26400952803576e-33	5.20269389542618e-31	KIF18A
ENSG00000171617	8015.98876448178	1.96742865631925	0.163849814853129	12.0075122335829	3.2445926284114e-33	7.36937532683255e-31	ENC1
ENSG00000037965	170.691070106568	3.84139477142997	0.319995408010677	12.0045309253369	3.36365587759482e-33	7.55198738586892e-31	HOXC8
ENSG00000138346	688.305604305032	1.89979381796222	0.158393000341671	11.9941778605377	3.81183136994118e-33	8.46096615330239e-31	DNA2
ENSG00000183856	4160.87418024201	2.09215720548903	0.174462527009693	11.9920147973828	3.91270717712188e-33	8.49187881008019e-31	IQGAP3
ENSG00000198826	2323.67893188864	1.86311290991541	0.155352628153733	11.9927994270668	3.87581266583298e-33	8.49187881008019e-31	ARHGAP11A
ENSG00000111247	885.71144820353	1.9205164528294	0.160288147938377	11.9816497821644	4.43410711620393e-33	9.517737835254e-31	RAD51AP1
ENSG00000046653	584.967264522325	-2.8342289562999	0.236735853349954	-11.9721154028588	4.97439494713837e-33	1.05613974459189e-30	GPM6B
ENSG00000000460	591.263847459174	1.44344147289319	0.120686538999085	11.9602524429351	5.73871944188776e-33	1.20531620277843e-30	C1orf112
ENSG00000143595	216.280215743062	-5.90866688756252	0.495425501520803	-11.9264488190954	8.61716888371731e-33	1.79062935963458e-30	AQP10
ENSG00000165434	1795.14312344736	1.65658542295623	0.139259373845137	11.8956834087049	1.24628618371047e-32	2.56249558172806e-30	PGM2L1
ENSG00000178301	311.709149446767	-2.10259032689455	0.177237153633965	-11.8631465456553	1.83930612521724e-32	3.74241318165295e-30	AQP11
ENSG00000128683	327.474790091711	4.1931681788952	0.35368405732043	11.8556889746836	2.01063589069891e-32	4.04884029412597e-30	GAD1
ENSG00000164442	3300.63330164658	-1.7260184262982	0.145643755586752	-11.8509607181209	2.12737751499914e-32	4.2402107143345e-30	CITED2
ENSG00000173621	2565.66652685925	2.04605945321186	0.172811053092219	11.8398645028799	2.42844979101781e-32	4.79140502706574e-30	LRFN4
ENSG00000259330	615.516738704918	-2.39428386883471	0.202411564432317	-11.8287898991825	2.77107819544329e-32	5.41274703915938e-30	INAFM2
ENSG00000213401	421.31380248986	9.28101553962362	0.784774649995639	11.8263447216028	2.85297088552449e-32	5.5175327036584e-30	MAGEA12
ENSG00000068650	10349.3902439875	1.89949492270406	0.160772984812581	11.8147643083095	3.27465955949574e-32	6.27097305643434e-30	ATP11A
ENSG00000176208	873.698394378536	1.50846349050267	0.127741937718774	11.8086786331954	3.52050449189631e-32	6.67631206215637e-30	ATAD5
ENSG00000184445	2396.65000927219	1.53612650424952	0.130103431998486	11.8069637414899	3.59303287106532e-32	6.74833760293451e-30	KNTC1
ENSG00000128610	190.489392851501	4.98978498771013	0.422697206800812	11.8046320331174	3.69403406100479e-32	6.87195879177205e-30	FEZF1
ENSG00000128578	588.353194848104	2.58758243023287	0.219332956535931	11.7975085509276	4.02039064613899e-32	7.40851797085216e-30	STRIP2
ENSG00000196550	90.2543693442323	2.09905768779688	0.17801836392204	11.7912424401121	4.33104061298868e-32	7.90637535453344e-30	FAM72A
ENSG00000169679	2416.86874322235	2.02198948052648	0.171556387469568	11.7861509580059	4.60091717725606e-32	8.32126992808727e-30	BUB1
ENSG00000173391	564.962763164468	3.0573633534083	0.260261621827375	11.7472692744387	7.29379114176052e-32	1.3070607557065e-29	OLR1
ENSG00000133119	1870.62596516209	1.76764670895485	0.150602607887941	11.737158696947	8.22018740768145e-32	1.45968109667493e-29	RFC3
ENSG00000143196	1206.45602142445	-3.89802953645969	0.332243797282283	-11.7324373497568	8.69191913396657e-32	1.52954285084477e-29	DPT
ENSG00000163959	328.149989598239	-2.82066707420859	0.240578737429667	-11.7245069300158	9.54552198385615e-32	1.66475607955948e-29	SLC51A
ENSG00000078098	926.866622486675	2.86343492998564	0.244408074886311	11.7157951156794	1.05794008314967e-31	1.8287383755896e-29	FAP
ENSG00000158887	148.299215665408	-2.58481764042108	0.220697433134125	-11.7120421552443	1.10583582231098e-31	1.89476237870179e-29	MPZ
ENSG00000103888	4819.30788932262	3.70647562401179	0.31662348453459	11.7062561845657	1.18392764676627e-31	2.01092684559005e-29	CEMIP
ENSG00000149948	1293.17459128176	4.10951900848234	0.351539844047525	11.690051862021	1.4329908271519e-31	2.412983605755e-29	HMGA2
ENSG00000123407	359.610578686845	8.45933459086495	0.726610778168966	11.6421815434423	2.51499204957117e-31	4.19874698327125e-29	HOXC12
ENSG00000174992	340.038210508755	-5.5815427509828	0.479663103578158	-11.636381262903	2.69196652600119e-31	4.45611713155772e-29	ZG16
ENSG00000133466	1175.86450208738	1.96252820606152	0.168853929530013	11.6226386411261	3.16216454142574e-31	5.19046722585454e-29	C1QTNF6
ENSG00000160957	2231.65666427275	2.1339139603688	0.18369267269266	11.6167614586299	3.38734503136362e-31	5.51375087480213e-29	RECQL4
ENSG00000101441	51.7059898419761	5.76732877021276	0.498076614830976	11.5792000637691	5.2533971067244e-31	8.4805459244337e-29	CST4
ENSG00000099860	2672.25716033666	-2.25234603676302	0.194691726685386	-11.5687814531673	5.93191472428177e-31	9.49738445158982e-29	GADD45B
ENSG00000114113	2884.70693090561	-6.10053526252644	0.52790533376457	-11.5561159782619	6.87485494315549e-31	1.09176050085086e-28	RBP2
ENSG00000138316	798.063189251957	2.5112495140045	0.217728840414784	11.5338395649398	8.90802762718541e-31	1.40322986807913e-28	ADAMTS14
ENSG00000123838	422.064737617524	4.77605983617664	0.414965711264551	11.5095288755841	1.18121927001188e-30	1.84582048009136e-28	C4BPA
ENSG00000131747	12848.5879595219	2.47959799562872	0.21562685457609	11.4994860009597	1.32703315898754e-30	2.05721735670663e-28	TOP2A
ENSG00000159640	3637.87562177542	-2.20585834271752	0.192526209837878	-11.45744438939	2.1578837030173e-30	3.31889310008164e-28	ACE
ENSG00000159217	837.258212057817	6.01628609103877	0.525719617620488	11.4439063892454	2.52265552226756e-30	3.84961174347283e-28	IGF2BP1
ENSG00000186047	70.6176130676368	1.85116325576946	0.161796632622299	11.4412965570851	2.5997105635308e-30	3.93644546026721e-28	DLEU7
ENSG00000163686	908.5049739576	-1.45707643169284	0.127409987181633	-11.4361241526197	2.75939451283756e-30	4.14609638609662e-28	ABHD6
ENSG00000221867	807.943727228128	8.64317985275876	0.756712294984993	11.4220158837649	3.24615712444674e-30	4.84024329097849e-28	MAGEA3
ENSG00000106853	2651.50832872121	-2.00773329650906	0.176020759426193	-11.4062301688394	3.89235551499081e-30	5.75980153593298e-28	PTGR1
ENSG00000248405	40.3307053436056	2.68937365884661	0.23580832278831	11.40491407193	3.95167296482907e-30	5.80361112947415e-28	PRR5-ARHGAP8
ENSG00000143228	950.928858056326	2.04257528827949	0.179165503598218	11.4004942204723	4.15752170320819e-30	6.06036353946011e-28	NUF2
ENSG00000080986	1009.2194007076	1.83426922918942	0.161254950882192	11.3749638020695	5.5725973127433e-30	8.06292913406037e-28	NDC80
ENSG00000138180	2192.66471477633	1.94975265216584	0.171571165300997	11.3641045029057	6.310830649398e-30	9.06393052019787e-28	CEP55
ENSG00000204653	32.1623131038901	-2.86862214253887	0.252471332713182	-11.3621697628449	6.45219090716185e-30	9.199317152525e-28	ASPDH
ENSG00000198930	402.570327787744	6.83931404813834	0.602319537024152	11.3549596646474	7.00722253910717e-30	9.91826651133191e-28	CSAG1
ENSG00000120334	653.097587454802	1.25497977645292	0.110559155296599	11.3512062667823	7.31465383145074e-30	1.02789304524984e-27	CENPL
ENSG00000101104	1414.10776443536	2.53135429398911	0.223116476563383	11.345438638056	7.81334566456060e-30	1.09012914904187e-27	PABPC1L
ENSG00000133800	503.885158743963	-2.9793851498723	0.262627977814135	-11.3445078268883	7.89693018786829e-30	1.0939768607066e-27	LYVE1
